userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status,m_CurrentTaskCompletionTime
R_1ogSVF1ZnmV0Nue,Control,Trial1,Walk,Tutorial,Walk,0,Task0,11.92813,Far,-28.057,44.482,-5.3419,0.02,0,0,-35.26879,44.85949,-14.83547,-35.16,43.152,-14.71,-35.16,43.152,-14.71,355.3127,359.2006,359.3431,-4.687,-0.799,-0.657,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,,0.02
R_1ogSVF1ZnmV0Nue,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.00482,Far,-28.057,44.482,-5.3419,0.4076746,0.002788544,0.0868711,-35.34037,44.84596,-14.87793,-35.46874,44.47016,-14.8113,-35.38728,44.45053,-14.69688,0.5889453,296.0606,358.4243,0.589,-63.939,-1.576,304.0902,296.7224,18.49512,-55.91,-63.278,18.495,311.1181,317.357,350.5317,-48.882,-42.643,-9.468,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.4076746
R_1ogSVF1ZnmV0Nue,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.00968,Far,-28.057,44.482,-5.3419,0.7298967,0.002788544,0.1375983,-35.33158,44.84913,-14.89061,-35.44626,44.46943,-14.78488,-35.3507,44.45403,-14.68973,1.141939,309.0468,2.250225,1.142,-50.953,2.25,305.0352,304.3219,19.94255,-54.965,-55.678,19.943,310.6569,324.0844,351.9971,-49.343,-35.916,-8.003,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.7298967
R_1ogSVF1ZnmV0Nue,Control,Trial1,Walk,Tutorial,Walk,0,Task0,11.99282,Far,-28.057,44.482,-5.3419,0.8459112,0.002788544,0.1546655,-35.3223,44.84702,-14.87657,-35.42654,44.46698,-14.76318,-35.32038,44.45259,-14.67919,2.075956,321.9294,3.217222,2.076,-38.071,3.217,305.5335,310.7851,20.10536,-54.466,-49.215,20.105,310.9219,330.8148,352.1766,-49.078,-29.185,-7.823,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.8459112
R_1ogSVF1ZnmV0Nue,Control,Trial1,Walk,Tutorial,Walk,0,Task0,11.97466,Far,-28.057,44.482,-5.3419,0.9690572,0.002788544,0.1735979,-35.30779,44.84533,-14.86485,-35.40107,44.46531,-14.74162,-35.28585,44.4514,-14.67039,2.996118,334.8811,2.699921,2.996,-25.119,2.7,305.7001,319.2226,19.59314,-54.3,-40.777,19.593,311.2732,338.5989,352.4244,-48.727,-21.401,-7.576,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.9690572
R_1ogSVF1ZnmV0Nue,Control,Trial1,Walk,Tutorial,Walk,0,Task0,11.96103,Far,-28.057,44.482,-5.3419,1.088122,0.002788544,0.189015,-35.29382,44.84511,-14.85836,-35.37359,44.46636,-14.72091,-35.2523,44.45627,-14.66403,3.483955,344.8705,1.957916,3.484,-15.13,1.958,305.7913,327.9467,19.15794,-54.209,-32.053,19.158,310.4621,346.9279,351.8131,-49.538,-13.072,-8.187,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.088122
R_1ogSVF1ZnmV0Nue,Control,Trial1,Walk,Tutorial,Walk,0,Task0,11.94981,Far,-28.057,44.482,-5.3419,1.206609,0.002792358,0.2019448,-35.28209,44.84363,-14.85323,-35.3479,44.46638,-14.70463,-35.22424,44.45742,-14.66308,4.001967,352.6261,1.123336,4.002,-7.374001,1.123,306.2388,336.9893,17.62861,-53.761,-23.011,17.629,309.9694,354.6047,350.6367,-50.031,-5.395,-9.363001,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.206609
R_1ogSVF1ZnmV0Nue,Control,Trial1,Walk,Tutorial,Walk,0,Task0,11.93615,Far,-28.057,44.482,-5.3419,1.336699,0.002792358,0.2182781,-35.267,44.84161,-14.8476,-35.325,44.46492,-14.69413,-35.19848,44.45426,-14.66721,4.835005,2.844912,0.1936211,4.835,2.845,0.194,306.4922,345.1025,16.19352,-53.508,-14.897,16.194,310.0619,0.9597315,350.1347,-49.938,0.96,-9.865001,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.336699
R_1ogSVF1ZnmV0Nue,Control,Trial1,Walk,Tutorial,Walk,0,Task0,11.9275,Far,-28.057,44.482,-5.3419,1.458466,0.002792358,0.2297585,-35.25616,44.84012,-14.84501,-35.30553,44.4624,-14.68653,-35.17721,44.45566,-14.67445,5.650568,11.51892,359.796,5.651,11.519,-0.204,307.0998,350.2151,15.75244,-52.9,-9.785001,15.752,309.3284,5.751631,350.0642,-50.672,5.752,-9.936001,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.458466
R_1ogSVF1ZnmV0Nue,Control,Trial1,Walk,Tutorial,Walk,0,Task0,11.92407,Far,-28.057,44.482,-5.3419,1.582786,0.002792358,0.2365413,-35.24957,44.83993,-14.84571,-35.28439,44.46291,-14.68532,-35.15709,44.45571,-14.6811,6.008752,16.90154,359.5579,6.009,16.902,-0.442,306.6573,355.8611,14.86817,-53.343,-4.139,14.868,309.2814,10.78443,349.5333,-50.719,10.784,-10.467,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.582786
