userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status,m_CurrentTaskCompletionTime
R_1r00T6PAdURIZsp,Control,Trial2,Walk,Tutorial,Walk,0,Task0,11.49782,Far,-28.057,44.482,-5.3419,0.02,0,0,-34.99239,44.78658,-14.50745,-35.16,43.152,-14.71,-35.16,43.152,-14.71,11.08459,356.2607,358.6393,11.085,-3.739,-1.361,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,,0.02
R_1r00T6PAdURIZsp,Control,Trial2,Walk,Tutorial,Walk,0,Task0,11.48768,Far,-28.057,44.482,-5.3419,0.4102662,0.002788544,0.0157757,-34.98222,44.78996,-14.50232,-35.07349,43.98733,-14.45464,-34.74112,43.98072,-14.4669,7.86148,352.4105,358.8898,7.861001,-7.59,-1.11,25.55353,26.33924,313.7666,25.554,26.339,-46.233,34.9086,353.881,18.3853,34.909,-6.119,18.385,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.4102662
R_1r00T6PAdURIZsp,Control,Trial2,Walk,Tutorial,Walk,0,Task0,11.44581,Far,-28.057,44.482,-5.3419,0.7449449,0.002788544,0.09574731,-34.90378,44.79323,-14.50876,-35.0792,44.0025,-14.43388,-34.71233,43.97817,-14.46858,4.888737,12.3014,358.9584,4.889,12.301,-1.042,20.44444,18.10768,319.5193,20.444,18.108,-40.481,33.87762,354.4711,17.89553,33.878,-5.529,17.896,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.7449449
R_1r00T6PAdURIZsp,Control,Trial2,Walk,Tutorial,Walk,0,Task0,11.43751,Far,-28.057,44.482,-5.3419,0.8746701,0.002788544,0.1138038,-34.88611,44.79249,-14.51161,-35.08747,43.99559,-14.43681,-34.70965,43.9795,-14.46816,4.825846,25.87132,359.4258,4.826,25.871,-0.574,21.25052,16.44541,317.4901,21.251,16.445,-42.51,34.03843,356.3003,18.90055,34.038,-3.7,18.901,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.8746701
R_1r00T6PAdURIZsp,Control,Trial2,Walk,Tutorial,Walk,0,Task0,11.43723,Far,-28.057,44.482,-5.3419,1.023332,0.002792358,0.1271817,-34.87616,44.79296,-14.51865,-35.09288,43.98275,-14.44204,-34.71681,43.98567,-14.46901,4.292691,38.99265,0.5233349,4.293,38.993,0.523,24.35746,19.49736,315.7521,24.357,19.497,-44.248,33.16768,357.7561,18.46666,33.168,-2.244,18.467,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.023332
R_1r00T6PAdURIZsp,Control,Trial2,Walk,Tutorial,Walk,0,Task0,11.44298,Far,-28.057,44.482,-5.3419,1.189025,0.002792358,0.1455049,-34.89328,44.7926,-14.51308,-35.08963,43.98272,-14.43306,-34.72133,43.993,-14.47516,4.835544,37.9609,0.5482291,4.836,37.961,0.548,25.33063,26.46652,316.3422,25.331,26.467,-43.658,30.43321,4.374738,16.9358,30.433,4.375,16.936,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.189025
R_1r00T6PAdURIZsp,Control,Trial2,Walk,Tutorial,Walk,0,Task0,11.44612,Far,-28.057,44.482,-5.3419,1.329585,0.002792358,0.1733787,-34.91618,44.78363,-14.5002,-35.05245,44.03782,-14.3845,-34.72152,44.01535,-14.47255,9.470909,34.61245,0.4142307,9.471001,34.612,0.414,19.54627,27.70316,333.6446,19.546,27.703,-26.355,24.58988,14.01539,11.85688,24.59,14.015,11.857,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.329585
R_1r00T6PAdURIZsp,Control,Trial2,Walk,Tutorial,Walk,0,Task0,11.45674,Far,-28.057,44.482,-5.3419,1.486752,0.002792358,0.2041217,-34.94291,44.77029,-14.49384,-34.97165,44.17884,-14.33092,-34.73284,44.03844,-14.46232,15.56228,31.05918,359.346,15.562,31.059,-0.654,357.97,34.47994,354.9673,-2.03,34.48,-5.033,18.02919,16.7977,10.12213,18.029,16.798,10.122,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.486752
R_1r00T6PAdURIZsp,Control,Trial2,Walk,Tutorial,Walk,0,Task0,11.47416,Far,-28.057,44.482,-5.3419,1.642095,0.002792358,0.2310378,-34.96869,44.76458,-14.49641,-34.92051,44.29839,-14.30598,-34.74367,44.05101,-14.46103,18.60307,28.868,358.4022,18.603,28.868,-1.598,341.8513,38.91758,0.5872549,-18.149,38.918,0.587,14.84054,18.3849,10.88345,14.841,18.385,10.883,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.642095
R_1r00T6PAdURIZsp,Control,Trial2,Walk,Tutorial,Walk,0,Task0,11.48705,Far,-28.057,44.482,-5.3419,1.802276,0.002792358,0.2497,-34.98664,44.76456,-14.49901,-34.91249,44.33439,-14.29491,-34.75121,44.05122,-14.47274,19.10761,27.1655,358.9037,19.108,27.166,-1.096,338.3996,39.93202,359.7287,-21.6,39.932,-0.271,15.24535,19.10316,12.3905,15.245,19.103,12.391,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.802276
