userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status,m_CurrentTaskCompletionTime
R_1rlEKzo5m82COIG,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.26271,Far,-28.057,44.482,-5.3419,0.02,0,0,-35.44668,44.64559,-15.12658,-35.16,43.152,-14.71,-35.16,43.152,-14.71,357.886,2.745352,355.3208,-2.114,2.745,-4.679,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,,0.02
R_1rlEKzo5m82COIG,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.25563,Far,-28.057,44.482,-5.3419,0.4116834,0.002792358,0.01286499,-35.44809,44.64138,-15.11671,-35.51257,44.3681,-14.88128,-35.3902,44.36575,-14.89336,358.2204,2.254107,356.0942,-1.78,2.254,-3.906,339.0534,0.04954674,6.701201,-20.947,0.05,6.701,335.4887,359.1023,354.9288,-24.511,-0.8980001,-5.071,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.4116834
R_1rlEKzo5m82COIG,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.26172,Far,-28.057,44.482,-5.3419,0.7745801,0.002792358,0.01955858,-35.45086,44.64089,-15.12225,-35.51394,44.36963,-14.88526,-35.39131,44.36765,-14.89726,358.3701,1.958839,356.4584,-1.63,1.959,-3.542,338.7252,359.8377,6.785079,-21.275,-0.162,6.785,335.1595,358.6941,354.7546,-24.84,-1.306,-5.245,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.7745801
R_1rlEKzo5m82COIG,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.26209,Far,-28.057,44.482,-5.3419,0.9137646,0.002792358,0.02056981,-35.45076,44.64056,-15.1228,-35.51423,44.37054,-14.88614,-35.392,44.36763,-14.89799,358.6746,1.714954,356.4655,-1.325,1.715,-3.534,338.6367,359.7854,6.721613,-21.363,-0.215,6.722,335.1697,358.5185,354.7342,-24.83,-1.482,-5.266,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.9137646
R_1rlEKzo5m82COIG,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.26233,Far,-28.057,44.482,-5.3419,1.039155,0.002792358,0.02154065,-35.45042,44.64023,-15.12337,-35.51374,44.3703,-14.88671,-35.39239,44.36766,-14.89892,358.8695,1.520002,356.4449,-1.131,1.52,-3.555,338.6821,359.9048,6.523284,-21.318,-0.09500001,6.523,335.0663,358.3849,354.7063,-24.934,-1.615,-5.294,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.039155
R_1rlEKzo5m82COIG,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.26207,Far,-28.057,44.482,-5.3419,1.169392,0.002792358,0.0225505,-35.44979,44.63992,-15.12352,-35.51292,44.36985,-14.88767,-35.39214,44.36741,-14.89917,359.1046,1.332209,356.3719,-0.895,1.332,-3.628,338.7969,0.06657972,6.266665,-21.203,0.067,6.267,335.1306,358.4185,354.5529,-24.869,-1.582,-5.447,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.169392
R_1rlEKzo5m82COIG,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.26142,Far,-28.057,44.482,-5.3419,1.302649,0.002792358,0.0236959,-35.44913,44.63984,-15.12321,-35.51426,44.3697,-14.8884,-35.3936,44.36705,-14.89943,359.3439,1.23115,356.138,-0.656,1.231,-3.862,338.8379,359.9451,6.023351,-21.162,-0.055,6.023,335.1609,358.2601,354.498,-24.839,-1.74,-5.502,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.302649
R_1rlEKzo5m82COIG,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.2614,Far,-28.057,44.482,-5.3419,1.437188,0.002792358,0.02521959,-35.44818,44.63931,-15.12391,-35.51521,44.3689,-14.8889,-35.39476,44.3665,-14.9004,359.4928,1.368983,355.9861,-0.507,1.369,-4.014,338.9135,359.7281,5.887217,-21.087,-0.272,5.887,335.1785,358.0055,354.4365,-24.821,-1.994,-5.563,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.437188
R_1rlEKzo5m82COIG,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.26144,Far,-28.057,44.482,-5.3419,1.572573,0.002792358,0.0261165,-35.44807,44.63914,-15.12404,-35.51409,44.36777,-14.88898,-35.39375,44.36684,-14.90157,359.617,1.801821,356.1375,-0.383,1.802,-3.863,339.0507,359.8339,5.969376,-20.949,-0.166,5.969,335.0637,358.0659,354.4735,-24.936,-1.934,-5.526,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.572573
R_1rlEKzo5m82COIG,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.26191,Far,-28.057,44.482,-5.3419,1.708831,0.002792358,0.02685134,-35.44836,44.6388,-15.12441,-35.512,44.36775,-14.88932,-35.39172,44.36668,-14.90219,359.8533,1.963297,356.2791,-0.147,1.963,-3.721,338.9581,0.1319393,5.992424,-21.042,0.132,5.992,335.0849,358.469,354.6194,-24.915,-1.531,-5.381,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.708831
