userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status,m_CurrentTaskCompletionTime
R_2Sfb7qpkvW2IIEY,Control,Trial2,Walk,Tutorial,Walk,0,Task0,12.22026,Far,-28.057,44.482,-5.3419,0.02,0,0,-34.81951,44.73073,-15.51743,-35.16,43.152,-14.71,-35.16,43.152,-14.71,40.42172,353.9538,352.8933,40.422,-6.046,-7.107,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,,0.02
R_2Sfb7qpkvW2IIEY,Control,Trial2,Walk,Tutorial,Walk,0,Task0,12.27,Far,-28.057,44.482,-5.3419,0.4117818,0.002792358,0.1061012,-34.87618,44.81187,-15.53714,-34.92548,44.24507,-15.30133,-34.79877,44.26759,-15.32943,6.510601,8.767699,357.6599,6.511,8.768001,-2.34,349.3807,22.51064,347.9307,-10.619,22.511,-12.069,347.6802,13.99239,355.9051,-12.32,13.992,-4.095,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.4117818
R_2Sfb7qpkvW2IIEY,Control,Trial2,Walk,Tutorial,Walk,0,Task0,12.2881,Far,-28.057,44.482,-5.3419,0.7730168,0.002792358,0.2467718,-34.95433,44.72698,-15.50872,-34.9239,44.34423,-15.25932,-34.79987,44.27924,-15.33221,41.26338,12.58016,355.8889,41.263,12.58,-4.111,329.6277,20.57955,346.9792,-30.372,20.58,-13.021,346.3385,19.75453,356.5528,-13.662,19.755,-3.447,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.7730168
R_2Sfb7qpkvW2IIEY,Control,Trial2,Walk,Tutorial,Walk,0,Task0,12.28727,Far,-28.057,44.482,-5.3419,0.9062618,0.002792358,0.25135,-34.95534,44.72716,-15.50703,-34.9144,44.36106,-15.26285,-34.80237,44.26836,-15.3384,41.22899,11.51881,355.4121,41.229,11.519,-4.588,325.7452,21.35656,348.4286,-34.255,21.357,-11.571,348.2052,18.96374,357.0551,-11.795,18.964,-2.945,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.9062618
R_2Sfb7qpkvW2IIEY,Control,Trial2,Walk,Tutorial,Walk,0,Task0,12.28628,Far,-28.057,44.482,-5.3419,1.052603,0.002792358,0.2601166,-34.95525,44.73565,-15.50569,-34.91396,44.36101,-15.26847,-34.80389,44.26569,-15.3404,36.84141,11.50363,355.5422,36.841,11.504,-4.458,325.5269,21.1557,350.7556,-34.473,21.156,-9.244,348.6413,18.24588,357.8128,-11.359,18.246,-2.187,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.052603
R_2Sfb7qpkvW2IIEY,Control,Trial2,Walk,Tutorial,Walk,0,Task0,12.28962,Far,-28.057,44.482,-5.3419,1.191719,0.002792358,0.2680606,-34.95748,44.74247,-15.50804,-34.91776,44.34765,-15.26473,-34.80413,44.26662,-15.34133,33.6692,12.08507,356.0818,33.669,12.085,-3.918,328.9269,19.54984,351.8244,-31.073,19.55,-8.176001,348.4308,18.18803,358.3874,-11.569,18.188,-1.613,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.191719
R_2Sfb7qpkvW2IIEY,Control,Trial2,Walk,Tutorial,Walk,0,Task0,12.29128,Far,-28.057,44.482,-5.3419,1.31601,0.002792358,0.2712039,-34.95987,44.74389,-15.50838,-34.92794,44.34879,-15.26115,-34.80613,44.26522,-15.34205,32.37872,11.97391,355.9316,32.379,11.974,-4.068,328.402,17.5485,353.7533,-31.598,17.549,-6.247,347.8951,17.52338,0.1370722,-12.105,17.523,0.137,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.31601
R_2Sfb7qpkvW2IIEY,Control,Trial2,Walk,Tutorial,Walk,0,Task0,12.29354,Far,-28.057,44.482,-5.3419,1.449221,0.002792358,0.2918289,-34.95856,44.76406,-15.51146,-34.94459,44.32434,-15.24982,-34.80548,44.26903,-15.34489,24.01196,14.47803,356.8303,24.012,14.478,-3.17,334.9535,14.27691,357.5683,-25.046,14.277,-2.432,345.7024,16.1139,2.126097,-14.298,16.114,2.126,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.449221
R_2Sfb7qpkvW2IIEY,Control,Trial2,Walk,Tutorial,Walk,0,Task0,12.29809,Far,-28.057,44.482,-5.3419,1.576602,0.002792358,0.3069918,-34.95462,44.77583,-15.5193,-34.95533,44.2973,-15.25494,-34.79228,44.27256,-15.34407,18.48908,18.68976,357.5561,18.489,18.69,-2.444,340.6042,13.14965,359.1627,-19.396,13.15,-0.837,345.7737,18.34939,0.429832,-14.226,18.349,0.43,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.576602
R_2Sfb7qpkvW2IIEY,Control,Trial2,Walk,Tutorial,Walk,0,Task0,12.30288,Far,-28.057,44.482,-5.3419,1.711954,0.002792358,0.3207245,-34.95287,44.76716,-15.52652,-34.94776,44.29507,-15.26227,-34.77942,44.28027,-15.34187,22.12701,21.00189,357.898,22.127,21.002,-2.102,341.2807,14.13896,358.2536,-18.719,14.139,-1.746,345.4091,20.96931,0.2636202,-14.591,20.969,0.264,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.711954
