userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status,m_CurrentTaskCompletionTime
R_31zvtC9K2PUSDEk,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.42409,Far,-28.057,44.482,-5.3419,0.02,0,0,-35.32719,44.75129,-15.41313,-35.16,43.152,-14.71,-35.16,43.152,-14.71,349.6898,20.81438,358.3797,-10.31,20.814,-1.62,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,,0.02
R_31zvtC9K2PUSDEk,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.42538,Far,-28.057,44.482,-5.3419,0.4109992,0.002792358,0.03000825,-35.34974,44.74401,-15.3986,-35.39465,44.31701,-15.16889,-35.13748,44.20265,-15.24328,352.3051,5.950047,359.2656,-7.695,5.95,-0.734,328.1345,20.09839,347.3072,-31.866,20.098,-12.693,333.7736,6.162462,21.41018,-26.226,6.162,21.41,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.4109992
R_31zvtC9K2PUSDEk,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.42531,Far,-28.057,44.482,-5.3419,0.7455837,0.002792358,0.03428161,-35.34915,44.74285,-15.39898,-35.39148,44.31579,-15.17089,-35.13829,44.20412,-15.24477,352.8448,5.602697,359.4691,-7.155,5.603,-0.531,328.4242,20.62432,347.2438,-31.576,20.624,-12.756,333.585,6.241863,21.04351,-26.415,6.242,21.044,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.7455837
R_31zvtC9K2PUSDEk,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.42234,Far,-28.057,44.482,-5.3419,0.8776442,0.002792358,0.03999098,-35.34408,44.74055,-15.39905,-35.38944,44.31568,-15.17144,-35.13646,44.20533,-15.24659,354.0446,7.844315,358.9041,-5.955,7.844,-1.096,328.518,21.11735,347.2296,-31.482,21.117,-12.77,333.5379,6.503462,21.22026,-26.462,6.503,21.22,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.8776442
R_31zvtC9K2PUSDEk,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.4199,Far,-28.057,44.482,-5.3419,0.9945971,0.002792358,0.04864037,-35.33604,44.73964,-15.40187,-35.38466,44.31493,-15.17156,-35.1321,44.2089,-15.25058,354.4772,12.24137,358.3145,-5.523,12.241,-1.686,328.7092,22.1934,347.1114,-31.291,22.193,-12.889,332.9909,7.432294,21.33695,-27.009,7.432,21.337,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.9945971
R_31zvtC9K2PUSDEk,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.4173,Far,-28.057,44.482,-5.3419,1.128386,0.002792358,0.06119862,-35.32468,44.73801,-15.40691,-35.37402,44.31625,-15.17092,-35.12319,44.21177,-15.25923,355.4059,19.12759,358.3644,-4.594,19.128,-1.636,328.5158,24.30188,346.9337,-31.484,24.302,-13.066,332.7465,9.479165,21.35846,-27.254,9.479,21.358,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.128386
R_31zvtC9K2PUSDEk,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.41665,Far,-28.057,44.482,-5.3419,1.261833,0.002792358,0.07048211,-35.31699,44.73919,-15.41164,-35.36191,44.31763,-15.16939,-35.11075,44.21515,-15.26995,354.938,24.10905,358.8867,-5.062,24.109,-1.113,328.4638,26.64895,346.6507,-31.536,26.649,-13.349,332.2685,12.59027,21.09515,-27.732,12.59,21.095,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.261833
R_31zvtC9K2PUSDEk,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.41633,Far,-28.057,44.482,-5.3419,1.417958,0.002792358,0.07780146,-35.31107,44.74064,-15.41547,-35.34556,44.31941,-15.1693,-35.09655,44.21601,-15.28223,353.9376,28.62058,359.1586,-6.062,28.621,-0.841,328.1119,29.57464,346.5838,-31.888,29.575,-13.416,332.1335,15.97401,21.00613,-27.866,15.974,21.006,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.417958
R_31zvtC9K2PUSDEk,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.41484,Far,-28.057,44.482,-5.3419,1.55224,0.002792358,0.08112442,-35.30796,44.74109,-15.41586,-35.33533,44.3175,-15.16953,-35.08493,44.21741,-15.28973,353.758,30.87832,359.0139,-6.242,30.878,-0.9860001,328.4058,31.41499,346.6936,-31.594,31.415,-13.306,331.8371,18.78347,20.92081,-28.163,18.783,20.921,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.55224
R_31zvtC9K2PUSDEk,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.41337,Far,-28.057,44.482,-5.3419,1.720819,0.002792358,0.08532715,-35.30441,44.73944,-15.41665,-35.32662,44.31543,-15.16733,-35.07415,44.2201,-15.29795,354.5249,34.23089,358.7311,-5.475,34.231,-1.269,328.6787,32.847,346.8188,-31.321,32.847,-13.181,331.4227,21.50522,20.9367,-28.577,21.505,20.937,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.720819
