userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status,m_CurrentTaskCompletionTime
R_3IQ8w6yESMbQ6NB,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.08435,Far,-28.057,44.482,-5.3419,0.02,0,0,-34.7098,44.70096,-15.42772,-35.16,43.152,-14.71,-35.16,43.152,-14.71,351.1509,38.44271,1.46929,-8.849,38.443,1.469,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,,0.02
R_3IQ8w6yESMbQ6NB,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.10551,Far,-28.057,44.482,-5.3419,0.4184341,0.002788544,0.03166563,-34.70801,44.70972,-15.45405,-34.62465,44.4243,-15.19402,-34.57723,44.45712,-15.25771,345.5923,50.65752,0.4768504,-14.408,50.658,0.477,310.6438,19.07217,26.97923,-49.356,19.072,26.979,290.2286,52.9479,11.68709,-69.771,52.948,11.687,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.4184341
R_3IQ8w6yESMbQ6NB,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.11041,Far,-28.057,44.482,-5.3419,0.7673904,0.002788544,0.05249383,-34.71951,44.70081,-15.45254,-34.63194,44.42437,-15.1952,-34.58364,44.45729,-15.25836,350.9674,45.31236,1.649603,-9.033,45.312,1.65,310.5424,18.40435,26.97021,-49.458,18.404,26.97,290.1589,52.3728,11.64941,-69.841,52.373,11.649,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.7673904
R_3IQ8w6yESMbQ6NB,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.10681,Far,-28.057,44.482,-5.3419,0.9222612,0.002792358,0.06879704,-34.72921,44.69352,-15.44199,-34.64161,44.42331,-15.19713,-34.59142,44.4561,-15.259,356.3027,40.28076,2.768742,-3.697,40.281,2.769,310.4633,17.2784,26.7143,-49.537,17.278,26.714,290.3248,51.63622,11.09398,-69.675,51.636,11.094,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.9222612
R_3IQ8w6yESMbQ6NB,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.09924,Far,-28.057,44.482,-5.3419,1.058269,0.002792358,0.09635809,-34.74652,44.68705,-15.42158,-34.6707,44.41907,-15.19855,-34.61582,44.4529,-15.256,1.16876,32.51315,4.016748,1.169,32.513,4.017,311.0349,12.19493,27.68614,-48.965,12.195,27.686,290.4802,45.24551,13.18885,-69.52,45.246,13.189,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.058269
R_3IQ8w6yESMbQ6NB,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.09482,Far,-28.057,44.482,-5.3419,1.187008,0.002792358,0.1214624,-34.76447,44.68394,-15.4044,-34.70598,44.4098,-15.19907,-34.64372,44.44075,-15.25109,2.137044,20.93476,4.238582,2.137,20.935,4.239,311.4255,9.395433,23.34942,-48.574,9.395,23.349,292.2465,44.43966,7.317771,-67.75401,44.44,7.318,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.187008
R_3IQ8w6yESMbQ6NB,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.09589,Far,-28.057,44.482,-5.3419,1.321464,0.002792358,0.1346122,-34.77517,44.68159,-15.39859,-34.73345,44.39308,-15.20046,-34.6643,44.4197,-15.24499,1.722686,7.216713,2.49695,1.723,7.217,2.497,312.1659,7.738322,17.41745,-47.834,7.738,17.417,295.2684,44.79856,0.1125113,-64.732,44.799,0.113,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.321464
R_3IQ8w6yESMbQ6NB,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.09855,Far,-28.057,44.482,-5.3419,1.486499,0.002792358,0.1598225,-34.7562,44.68384,-15.41438,-34.7485,44.3841,-15.20909,-34.67018,44.40377,-15.24015,0.09479418,0.778928,2.742723,0.09500001,0.779,2.743,312.0493,3.047601,9.858792,-47.951,3.048,9.859,298.6235,42.56826,350.9623,-61.376,42.568,-9.038,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.486499
R_3IQ8w6yESMbQ6NB,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.2436,Far,-28.057,44.482,-5.3419,1.651076,0.1637661,0.3484695,-34.77219,44.69469,-15.57746,-34.79062,44.38063,-15.36529,-34.71098,44.39919,-15.38779,355.6923,0.8009577,1.411311,-4.308,0.8010001,1.411,314.4853,358.9872,6.540292,-45.515,-1.013,6.54,301.0125,35.88061,349.8596,-58.988,35.881,-10.14,-35.22096,43.14921,-14.85892,0,0,0,0,0,0,,,,1.651076
R_3IQ8w6yESMbQ6NB,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.22585,Far,-28.057,44.482,-5.3419,1.786787,0.1637661,0.3915355,-34.72965,44.69419,-15.58408,-34.75415,44.37315,-15.36692,-34.67653,44.39236,-15.3943,354.1376,8.279157,-0.003515121,-5.862,8.279,-0.004,317.3345,1.059155,6.093787,-42.666,1.059,6.094,302.1029,35.75789,350.8413,-57.897,35.758,-9.159,-35.22096,43.14921,-14.85892,0,0,0,0,0,0,,,,1.786787
