userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status,m_CurrentTaskCompletionTime
R_3ehlX0b6q6H6FzI,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.33783,Far,-28.057,44.482,-5.3419,0.02,0,0,-35.28724,44.66972,-15.33743,-35.16,43.152,-14.71,-35.16,43.152,-14.71,12.79745,19.51826,356.7574,12.797,19.518,-3.243,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,,0.02
R_3ehlX0b6q6H6FzI,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.35475,Far,-28.057,44.482,-5.3419,0.4216454,0.002792358,0.03260843,-35.2863,44.68694,-15.35864,-35.24584,44.43458,-15.07289,-35.11255,44.44898,-15.20117,1.6245,36.42039,357.9323,1.624,36.42,-2.068,318.338,28.40265,15.99726,-41.662,28.403,15.997,309.1815,44.73537,352.2574,-50.818,44.735,-7.743001,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.4216454
R_3ehlX0b6q6H6FzI,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.35175,Far,-28.057,44.482,-5.3419,0.8000414,0.002792358,0.03937529,-35.28888,44.68461,-15.35313,-35.25159,44.43586,-15.07142,-35.1141,44.45082,-15.20045,2.996175,31.51049,357.8752,2.996,31.511,-2.125,317.9435,27.62427,16.10624,-42.057,27.624,16.106,308.7169,44.90051,351.7254,-51.283,44.9,-8.275001,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.8000414
R_3ehlX0b6q6H6FzI,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.3517,Far,-28.057,44.482,-5.3419,0.9441265,0.002792358,0.04229177,-35.28973,44.682,-15.3525,-35.25264,44.43727,-15.07283,-35.11483,44.45101,-15.20068,4.654756,30.40517,357.7649,4.655,30.405,-2.235,317.5594,27.64951,16.11403,-42.441,27.65,16.114,308.6817,45.07925,351.3043,-51.318,45.079,-8.696,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.9441265
R_3ehlX0b6q6H6FzI,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.35273,Far,-28.057,44.482,-5.3419,1.101135,0.002792358,0.04426411,-35.291,44.68163,-15.35286,-35.25434,44.43745,-15.07412,-35.1151,44.44953,-15.2017,4.740397,29.58388,357.6659,4.74,29.584,-2.334,317.4546,27.64715,16.10265,-42.545,27.647,16.103,308.8417,45.36566,351.19,-51.158,45.366,-8.81,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.101135
R_3ehlX0b6q6H6FzI,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.35475,Far,-28.057,44.482,-5.3419,1.233911,0.002792358,0.0474241,-35.2936,44.68042,-15.3535,-35.25654,44.438,-15.07476,-35.11597,44.45084,-15.20385,5.689296,28.16032,357.722,5.689,28.16,-2.278,317.4752,27.3185,16.02264,-42.525,27.319,16.023,308.6064,45.68185,350.8138,-51.394,45.682,-9.186001,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.233911
R_3ehlX0b6q6H6FzI,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.35613,Far,-28.057,44.482,-5.3419,1.367949,0.002792358,0.05019207,-35.29634,44.6805,-15.35322,-35.25877,44.43874,-15.0756,-35.11652,44.45153,-15.20565,5.7895,27.54262,357.8703,5.79,27.543,-2.13,317.4114,26.80931,16.61795,-42.589,26.809,16.618,308.5515,46.17478,350.3511,-51.448,46.175,-9.649,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.367949
R_3ehlX0b6q6H6FzI,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.35664,Far,-28.057,44.482,-5.3419,1.53446,0.002792358,0.05326701,-35.29882,44.67959,-15.35207,-35.26205,44.43948,-15.07521,-35.11823,44.45146,-15.20616,6.420115,27.57869,358.1309,6.42,27.579,-1.869,317.1765,26.02219,17.19423,-42.824,26.022,17.194,308.6229,45.93962,350.7668,-51.377,45.94,-9.233001,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.53446
R_3ehlX0b6q6H6FzI,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.35774,Far,-28.057,44.482,-5.3419,1.667372,0.002792358,0.05511546,-35.30042,44.67904,-15.35228,-35.26348,44.43868,-15.07598,-35.11986,44.45152,-15.20648,6.794148,27.07247,358.2908,6.794,27.072,-1.709,317.152,26.12846,17.05515,-42.848,26.128,17.055,308.5281,45.63631,350.9912,-51.472,45.636,-9.009001,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.667372
R_3ehlX0b6q6H6FzI,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.35932,Far,-28.057,44.482,-5.3419,1.802351,0.002792358,0.05680332,-35.30103,44.67888,-15.35379,-35.26578,44.44035,-15.0778,-35.12155,44.45222,-15.20736,6.789713,26.92644,358.3288,6.79,26.926,-1.671,316.4293,25.9688,17.06718,-43.571,25.969,17.067,308.205,45.4113,351.1099,-51.795,45.411,-8.89,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.802351
