userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status,m_CurrentTaskCompletionTime
R_QmmHzdJ87uRzLuV,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.05349,Far,-28.057,44.482,-5.3419,0.02,0,0,-35.45277,44.93913,-14.84875,-35.16,43.152,-14.71,-35.16,43.152,-14.71,348.6734,50.03135,357.3893,-11.327,50.031,-2.611,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,,0.02
R_QmmHzdJ87uRzLuV,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.3028,Far,-28.057,44.482,-5.3419,0.424198,0.4239701,0.4316342,-35.87978,44.90533,-14.82789,-35.77824,44.39452,-14.67164,-35.65653,44.35009,-14.84988,8.190039,53.5082,356.4984,8.190001,53.508,-3.502,341.7099,77.91722,348.1371,-18.29,77.91701,-11.863,349.6826,53.99826,15.52909,-10.317,53.998,15.529,-35.58106,43.14921,-14.71916,0,0,0,0,0,0,,,,0.424198
R_QmmHzdJ87uRzLuV,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.62698,Far,-28.057,44.482,-5.3419,0.7919003,0.8772033,0.8823211,-36.32757,44.90545,-14.8739,-36.21806,44.39819,-14.69891,-36.0807,44.35772,-14.87697,7.58364,47.09978,358.8086,7.584001,47.1,-1.191,341.1754,69.88256,348.2617,-18.825,69.883,-11.738,347.9525,49.45331,15.76933,-12.048,49.453,15.769,-36.034,43.14921,-14.70303,0,0,0,0,0,0,,,,0.7919003
R_QmmHzdJ87uRzLuV,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.74865,Far,-28.057,44.482,-5.3419,0.9303305,1.038478,1.040994,-36.48418,44.9055,-14.89865,-36.3795,44.3964,-14.72527,-36.23524,44.3485,-14.90118,7.771042,45.58666,358.0399,7.771,45.587,-1.96,342.1668,68.928,348.8006,-17.833,68.928,-11.199,349.2877,49.45781,16.06815,-10.712,49.458,16.068,-36.19501,43.14921,-14.71234,0,0,0,0,0,0,,,,0.9303305
R_QmmHzdJ87uRzLuV,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.86665,Far,-28.057,44.482,-5.3419,1.071706,1.196916,1.206766,-36.64951,44.90718,-14.90949,-36.54232,44.3979,-14.7354,-36.39858,44.3518,-14.91021,7.103331,45.95757,358.0103,7.103,45.958,-1.99,341.8701,69.94193,348.2848,-18.13,69.942,-11.715,348.6885,48.98488,15.90606,-11.312,48.985,15.906,-36.35328,43.14921,-14.71931,0,0,0,0,0,0,,,,1.071706
R_QmmHzdJ87uRzLuV,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.81867,Far,-28.057,44.482,-5.3419,1.237703,1.37771,1.398147,-36.75406,44.90858,-14.74921,-36.64517,44.40299,-14.57186,-36.50414,44.35367,-14.74871,6.789933,45.66201,357.9694,6.79,45.662,-2.031,341.3484,70.41049,347.6352,-18.652,70.41,-12.365,348.3281,49.11339,15.46992,-11.672,49.113,15.47,-36.44814,43.14922,-14.5654,0,0,0,0,0,0,,,,1.237703
R_QmmHzdJ87uRzLuV,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.76791,Far,-28.057,44.482,-5.3419,1.403076,1.560936,1.592767,-36.85631,44.90879,-14.58362,-36.74873,44.39944,-14.40458,-36.60756,44.35358,-14.58361,6.882452,47.00843,357.6719,6.882,47.008,-2.328,342.1346,70.57062,347.6383,-17.865,70.57101,-12.362,348.6828,49.72756,14.95305,-11.317,49.728,14.953,-36.54402,43.14922,-14.40926,0,0,0,0,0,0,,,,1.403076
R_QmmHzdJ87uRzLuV,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.72462,Far,-28.057,44.482,-5.3419,1.541735,1.709803,1.751431,-36.93614,44.90958,-14.44652,-36.8248,44.39931,-14.26883,-36.68524,44.3545,-14.45116,6.608292,48.41772,357.5051,6.608,48.418,-2.495,342.0676,71.59644,347.6968,-17.932,71.596,-12.303,348.5683,51.04648,15.20126,-11.432,51.046,15.201,-36.61936,43.14921,-14.28087,0,0,0,0,0,0,,,,1.541735
R_QmmHzdJ87uRzLuV,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.667,Far,-28.057,44.482,-5.3419,1.72796,1.889576,1.943818,-37.02607,44.90898,-14.27645,-36.90812,44.40209,-14.10192,-36.7745,44.35598,-14.289,6.921674,49.92432,357.601,6.922,49.924,-2.399,341.2443,72.42651,347.6491,-18.756,72.427,-12.351,348.3155,52.29507,15.6956,-11.684,52.295,15.696,-36.70643,43.14921,-14.1236,0,0,0,0,0,0,,,,1.72796
R_QmmHzdJ87uRzLuV,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.60184,Far,-28.057,44.482,-5.3419,1.888959,2.087688,2.147849,-37.11496,44.90707,-14.09285,-36.99647,44.40155,-13.92217,-36.86459,44.35652,-14.11047,7.945945,50.98666,357.06,7.946001,50.987,-2.94,341.1799,73.30264,347.6716,-18.82,73.303,-12.328,348.1091,53.51084,15.75604,-11.891,53.511,15.756,-36.79758,43.14922,-13.94771,0,0,0,0,0,0,,,,1.888959
