userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status,m_CurrentTaskCompletionTime
R_qKGMMUs6gN6jN8l,Control,Trial2,Walk,Tutorial,Walk,0,Task0,12.29556,Far,-28.057,44.482,-5.3419,0.02,0,0,-35.17465,44.81187,-15.36244,-35.16,43.152,-14.71,-35.16,43.152,-14.71,9.814436,2.040153,2.726952,9.814,2.04,2.727,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,,0.02
R_qKGMMUs6gN6jN8l,Control,Trial2,Walk,Tutorial,Walk,0,Task0,12.30973,Far,-28.057,44.482,-5.3419,0.4148824,0.03798287,0.05435448,-35.22273,44.80397,-15.3458,-35.30724,44.42381,-15.14922,-35.14174,44.41967,-15.151,14.78501,356.3937,3.090122,14.785,-3.606,3.09,317.1273,355.4095,8.18612,-42.873,-4.59,8.186001,317.91,354.5914,351.0475,-42.09,-5.409,-8.952001,-35.19374,43.14921,-14.7,0,0,0,0,0,0,,,,0.4148824
R_qKGMMUs6gN6jN8l,Control,Trial2,Walk,Tutorial,Walk,0,Task0,12.29245,Far,-28.057,44.482,-5.3419,0.7745596,0.03798668,0.09635122,-35.20916,44.78772,-15.33477,-35.30787,44.41878,-15.13459,-35.12582,44.41467,-15.12827,21.64656,6.70813,2.677618,21.647,6.708,2.678,319.4857,355.5044,9.136895,-40.514,-4.496,9.137,322.6948,2.10077,347.5956,-37.305,2.101,-12.404,-35.19374,43.14921,-14.7,0,0,0,0,0,0,,,,0.7745596
R_qKGMMUs6gN6jN8l,Control,Trial2,Walk,Tutorial,Walk,0,Task0,12.28406,Far,-28.057,44.482,-5.3419,0.9228133,0.03798668,0.1216111,-35.20533,44.76711,-15.3278,-35.30829,44.41627,-15.11971,-35.12707,44.4077,-15.12457,30.8498,8.705496,2.467231,30.85,8.706,2.467,321.727,355.9818,8.172683,-38.273,-4.018,8.173,323.7615,0.3357244,352.4868,-36.239,0.336,-7.513,-35.19374,43.14921,-14.7,0,0,0,0,0,0,,,,0.9228133
R_qKGMMUs6gN6jN8l,Control,Trial2,Walk,Tutorial,Walk,0,Task0,12.27457,Far,-28.057,44.482,-5.3419,1.041578,0.03798668,0.1521108,-35.17986,44.78202,-15.3339,-35.30869,44.41807,-15.1157,-35.11318,44.40395,-15.11905,24.15844,24.68799,5.792106,24.158,24.688,5.792,321.3745,355.4723,8.559542,-38.626,-4.528,8.56,325.6095,3.819159,351.6928,-34.391,3.819,-8.307,-35.19374,43.14921,-14.7,0,0,0,0,0,0,,,,1.041578
R_qKGMMUs6gN6jN8l,Control,Trial2,Walk,Tutorial,Walk,0,Task0,12.26999,Far,-28.057,44.482,-5.3419,1.202085,0.03798668,0.2067314,-35.13473,44.79596,-15.35988,-35.29199,44.41342,-15.11397,-35.10539,44.40495,-15.11883,14.80308,52.50348,7.943312,14.803,52.503,7.943,320.5861,2.573598,5.115541,-39.414,2.574,5.116,325.7323,4.924536,353.2633,-34.268,4.925,-6.737,-35.19374,43.14921,-14.7,0,0,0,0,0,0,,,,1.202085
R_qKGMMUs6gN6jN8l,Control,Trial2,Walk,Tutorial,Walk,0,Task0,12.28797,Far,-28.057,44.482,-5.3419,1.363821,0.03798668,0.2413275,-35.12195,44.79782,-15.39083,-35.26237,44.40874,-15.11053,-35.09248,44.40539,-15.13002,12.9531,67.53827,5.503266,12.953,67.538,5.503,320.1638,18.30626,358.4189,-39.836,18.306,-1.581,325.1277,5.063499,355.4231,-34.872,5.063,-4.577,-35.19374,43.14921,-14.7,0,0,0,0,0,0,,,,1.363821
R_qKGMMUs6gN6jN8l,Control,Trial2,Walk,Tutorial,Walk,0,Task0,12.28834,Far,-28.057,44.482,-5.3419,1.526356,0.03798668,0.2480056,-35.12658,44.79565,-15.3881,-35.24013,44.41394,-15.09553,-35.06012,44.40507,-15.14146,13.9543,65.57561,6.394018,13.954,65.576,6.394001,321.0254,23.16783,358.4618,-38.975,23.168,-1.538,325.3374,12.75464,354.1546,-34.663,12.755,-5.845,-35.19374,43.14921,-14.7,0,0,0,0,0,0,,,,1.526356
R_qKGMMUs6gN6jN8l,Control,Trial2,Walk,Tutorial,Walk,0,Task0,12.27747,Far,-28.057,44.482,-5.3419,1.659056,0.03798668,0.2798919,-35.14468,44.79667,-15.36199,-35.23026,44.41581,-15.08836,-35.04855,44.40067,-15.14686,15.00872,45.99907,3.377395,15.009,45.999,3.377,322.9991,20.44813,3.037899,-37.001,20.448,3.038,326.5065,16.34415,353.3132,-33.494,16.344,-6.687,-35.19374,43.14921,-14.7,0,0,0,0,0,0,,,,1.659056
R_qKGMMUs6gN6jN8l,Control,Trial2,Walk,Tutorial,Walk,0,Task0,12.27965,Far,-28.057,44.482,-5.3419,1.794921,0.03798668,0.3078797,-35.16796,44.80162,-15.348,-35.22311,44.40661,-15.09496,-35.05355,44.39322,-15.14927,13.56731,31.94654,1.796116,13.567,31.947,1.796,325.9465,21.29431,3.130931,-34.054,21.294,3.131,327.5485,16.0151,352.5963,-32.452,16.015,-7.404,-35.19374,43.14921,-14.7,0,0,0,0,0,0,,,,1.794921
