userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status,m_CurrentTaskCompletionTime
R_u38BXIwC4FIf597,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.20549,Far,-28.057,44.482,-5.3419,0.02,0,0,-35.24318,44.88707,-15.19933,-35.16,43.152,-14.71,-35.16,43.152,-14.71,316.7518,35.27644,1.405677,-43.248,35.276,1.406,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,,0.02
R_u38BXIwC4FIf597,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.24818,Far,-28.057,44.482,-5.3419,0.4139547,0.002792358,0.04624993,-35.27058,44.87865,-15.23255,-35.30972,44.45181,-14.84311,-35.23032,44.36313,-14.86381,300.5981,344.686,11.10539,-59.402,-15.314,11.105,333.6218,5.860793,355.4359,-26.378,5.861,-4.564,348.0536,357.8561,349.3809,-11.946,-2.144,-10.619,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.4139547
R_u38BXIwC4FIf597,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.21834,Far,-28.057,44.482,-5.3419,0.7284132,0.002792358,0.0797457,-35.26448,44.88086,-15.19994,-35.30767,44.44882,-14.84497,-35.22921,44.35986,-14.86711,308.5797,349.529,6.413861,-51.42,-10.471,6.414001,333.8978,5.611185,355.7507,-26.102,5.611,-4.249,348.4422,358.072,349.2822,-11.558,-1.928,-10.718,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.7284132
R_u38BXIwC4FIf597,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.21103,Far,-28.057,44.482,-5.3419,0.8385826,0.002792358,0.08807977,-35.26332,44.88113,-15.19172,-35.30696,44.44819,-14.84723,-35.2276,44.35924,-14.87029,311.4757,351.2591,5.175718,-48.524,-8.741,5.176,333.9517,5.645317,355.8064,-26.048,5.645,-4.194,348.5048,358.2734,349.282,-11.495,-1.727,-10.718,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.8385826
R_u38BXIwC4FIf597,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.20561,Far,-28.057,44.482,-5.3419,0.954465,0.002792358,0.09405809,-35.26206,44.88108,-15.18592,-35.30613,44.44688,-14.84972,-35.22527,44.35775,-14.87333,314.2198,352.4883,4.157479,-45.78,-7.512001,4.157,334.1082,5.598475,355.7761,-25.892,5.598,-4.224,348.6912,358.5508,349.4185,-11.309,-1.449,-10.582,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.954465
R_u38BXIwC4FIf597,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.20108,Far,-28.057,44.482,-5.3419,1.063855,0.002792358,0.0989968,-35.26096,44.88068,-15.18113,-35.30539,44.44734,-14.85344,-35.22375,44.3584,-14.877,317.295,353.4051,3.441903,-42.705,-6.595,3.442,334.0211,5.733211,355.7022,-25.979,5.733,-4.298,348.5815,358.6823,349.4767,-11.419,-1.318,-10.523,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.063855
R_u38BXIwC4FIf597,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.19574,Far,-28.057,44.482,-5.3419,1.173834,0.002792358,0.1050618,-35.26006,44.87999,-15.17519,-35.30548,44.44973,-14.85761,-35.22207,44.36029,-14.88039,320.8351,353.8856,2.946233,-39.165,-6.114,2.946,333.5558,5.7027,355.6454,-26.444,5.703,-4.355,348.1769,358.8544,349.3704,-11.823,-1.146,-10.63,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.173834
R_u38BXIwC4FIf597,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.19417,Far,-28.057,44.482,-5.3419,1.288565,0.002792358,0.1078861,-35.25916,44.88069,-15.17387,-35.30772,44.4476,-14.86109,-35.22041,44.35911,-14.88387,321.449,353.5927,2.892524,-38.551,-6.407001,2.893,333.7527,5.153516,355.7379,-26.247,5.154,-4.262,348.3328,359.1662,349.2028,-11.667,-0.8340001,-10.797,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.288565
R_u38BXIwC4FIf597,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.19767,Far,-28.057,44.482,-5.3419,1.408345,0.002792358,0.1132844,-35.2581,44.88208,-15.17894,-35.30885,44.44121,-14.86296,-35.2211,44.35369,-14.88708,319.2368,353.3336,2.931097,-40.763,-6.666,2.931,335.0113,4.903186,355.7478,-24.989,4.903,-4.252,349.4126,358.8529,349.097,-10.587,-1.147,-10.903,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.408345
R_u38BXIwC4FIf597,Control,Trial1,Walk,Tutorial,Walk,0,Task0,12.19665,Far,-28.057,44.482,-5.3419,1.52344,0.002792358,0.1162653,-35.257,44.88157,-15.17849,-35.30884,44.44306,-14.86472,-35.22303,44.35689,-14.88908,320.5498,353.5856,2.466309,-39.45,-6.414001,2.466,334.7444,4.789866,355.6263,-25.256,4.79,-4.374,348.8063,358.1706,349.0978,-11.194,-1.829,-10.902,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.52344
