userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status,m_CurrentTaskCompletionTime
R_1QswCJQwFfeERwe,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.7134,Far,-28.057,44.482,-5.3419,0.02,0,0,-35.48025,44.64149,-15.66181,-35.16,43.152,-14.71,-35.16,43.152,-14.71,11.3827,87.5951,346.9445,11.383,87.595,-13.055,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,,0.02
R_1QswCJQwFfeERwe,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.69253,Far,-28.057,44.482,-5.3419,0.4129963,0.002788544,0.07636942,-35.52263,44.65362,-15.6052,-35.6704,44.28783,-15.35721,-35.39629,44.2765,-15.3451,13.74139,356.8015,359.8857,13.741,-3.199,-0.114,325.8785,346.2097,5.672431,-34.121,-13.79,5.672,330.5456,8.496405,8.974998,-29.454,8.496,8.975,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.4129963
R_1QswCJQwFfeERwe,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.68844,Far,-28.057,44.482,-5.3419,0.7548819,0.002788544,0.08240879,-35.52357,44.6537,-15.59945,-35.67287,44.28837,-15.35495,-35.39555,44.27769,-15.34375,14.23016,357.1309,359.5919,14.23,-2.869,-0.408,325.8759,345.8104,6.536856,-34.124,-14.19,6.537,330.2936,8.847343,8.625028,-29.706,8.847,8.625,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.7548819
R_1QswCJQwFfeERwe,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.68865,Far,-28.057,44.482,-5.3419,0.8811902,0.002788544,0.0839417,-35.52264,44.65419,-15.60038,-35.67313,44.28949,-15.35436,-35.39534,44.27937,-15.34532,14.02938,357.5941,359.3688,14.029,-2.406,-0.631,325.6784,346.0135,6.653786,-34.322,-13.986,6.654,329.8315,8.850842,8.595489,-30.169,8.851001,8.595,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.8811902
R_1QswCJQwFfeERwe,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.68863,Far,-28.057,44.482,-5.3419,1.009682,0.002792358,0.0846057,-35.52277,44.65413,-15.60026,-35.67266,44.28985,-15.3537,-35.39486,44.27909,-15.34571,14.04207,357.9951,359.1048,14.042,-2.005,-0.895,325.5571,346.2796,6.67901,-34.443,-13.72,6.679,330.0071,9.085578,8.495911,-29.993,9.086,8.496,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.009682
R_1QswCJQwFfeERwe,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.68794,Far,-28.057,44.482,-5.3419,1.14371,0.002792358,0.08780302,-35.52446,44.65269,-15.59821,-35.67222,44.28915,-15.35313,-35.3954,44.27993,-15.3458,14.88662,357.528,358.9755,14.887,-2.472,-1.024,325.7969,346.6042,6.603598,-34.203,-13.396,6.604,329.8579,9.026294,8.573892,-30.142,9.026,8.574,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.14371
R_1QswCJQwFfeERwe,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.68791,Far,-28.057,44.482,-5.3419,1.270175,0.002792358,0.08894115,-35.52458,44.65229,-15.59808,-35.67331,44.28548,-15.35162,-35.39605,44.27931,-15.34577,15.13434,357.7143,358.5321,15.134,-2.286,-1.468,326.6649,346.6306,6.134007,-33.335,-13.369,6.134,330.0773,8.900424,8.682131,-29.923,8.900001,8.682,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.270175
R_1QswCJQwFfeERwe,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.68903,Far,-28.057,44.482,-5.3419,1.394825,0.002792358,0.09201062,-35.52576,44.6498,-15.59865,-35.67424,44.27897,-15.34842,-35.39771,44.2782,-15.34427,16.87739,357.98,358.7422,16.877,-2.02,-1.258,328.8102,346.8105,4.803505,-31.19,-13.189,4.804,330.8294,8.275676,8.609702,-29.171,8.276,8.610001,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.394825
R_1QswCJQwFfeERwe,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.70066,Far,-28.057,44.482,-5.3419,1.524235,0.002792358,0.116759,-35.52617,44.62986,-15.61304,-35.6694,44.25916,-15.33418,-35.39093,44.26761,-15.32907,27.78873,1.282868,356.7365,27.789,1.283,-3.264,337.7368,349.5638,359.7237,-22.263,-10.436,-0.276,338.8181,7.137392,5.344678,-21.182,7.137001,5.345,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.524235
R_1QswCJQwFfeERwe,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.69981,Far,-28.057,44.482,-5.3419,1.663532,0.002792358,0.1353691,-35.51907,44.61427,-15.61737,-35.67822,44.25051,-15.32559,-35.35244,44.27859,-15.31357,29.3504,11.36073,359.4691,29.35,11.361,-0.531,340.4238,349.663,359.7769,-19.576,-10.337,-0.223,337.4486,10.91132,9.667706,-22.551,10.911,9.668,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.663532
