userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status,m_CurrentTaskCompletionTime
R_2Xgvi8EjA3oVKsW,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.14817,Far,-28.057,44.482,-5.3419,0.02,0,0,-34.99975,44.74526,-15.30719,-35.16,43.152,-14.71,-35.16,43.152,-14.71,356.0352,13.23428,358.7322,-3.965,13.234,-1.268,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,,0.02
R_2Xgvi8EjA3oVKsW,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.11865,Far,-28.057,44.482,-5.3419,0.4070635,0.002788544,0.03300268,-34.98806,44.74288,-15.27941,-35.02515,44.21671,-15.07514,-34.88493,44.21428,-15.09048,350.0341,15.05853,0.2477699,-9.966001,15.059,0.248,353.6736,7.659188,357.0423,-6.326,7.659,-2.958,1.684277,6.065796,0.2823511,1.684,6.066,0.282,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.4070635
R_2Xgvi8EjA3oVKsW,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.10832,Far,-28.057,44.482,-5.3419,0.7534339,0.002792358,0.06782865,-34.95778,44.72883,-15.28825,-35.00476,44.20718,-15.06622,-34.83675,44.21462,-15.09465,358.8961,39.81689,0.6351948,-1.104,39.817,0.6350001,355.8547,10.47927,354.0444,-4.145,10.479,-5.956,5.243591,16.89964,358.6514,5.244,16.9,-1.349,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.7534339
R_2Xgvi8EjA3oVKsW,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.11084,Far,-28.057,44.482,-5.3419,0.9111354,0.008956989,0.08411993,-34.97024,44.7268,-15.28271,-34.97735,44.21194,-15.06094,-34.8032,44.22007,-15.09984,359.6956,41.019,359.642,-0.304,41.019,-0.358,353.6021,19.67382,354.1439,-6.398,19.674,-5.856,4.377802,26.28038,358.6823,4.378,26.28,-1.318,-35.16431,43.14921,-14.70559,0,0,0,0,0,0,,,,0.9111354
R_2Xgvi8EjA3oVKsW,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.06712,Far,-28.057,44.482,-5.3419,1.0464,0.05658983,0.1359457,-34.96139,44.72599,-15.2356,-34.94114,44.21814,-15.0223,-34.76899,44.2202,-15.06329,359.6295,39.37477,359.144,-0.371,39.375,-0.8560001,350.7904,26.36012,352.8591,-9.21,26.36,-7.141,4.062819,30.63875,353.1809,4.063,30.639,-6.819,-35.14616,43.14921,-14.66328,0,0,0,0,0,0,,,,1.0464
R_2Xgvi8EjA3oVKsW,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.79819,Far,-28.057,44.482,-5.3419,1.208786,0.3243717,0.4050281,-34.80468,44.72627,-15.01695,-34.7727,44.22144,-14.8169,-34.60433,44.22647,-14.851,359.503,37.46676,358.706,-0.497,37.467,-1.294,349.102,29.48861,352.1154,-10.898,29.489,-7.885,4.307275,30.76758,345.0873,4.307,30.768,-14.913,-34.98106,43.14922,-14.45249,0,0,0,0,0,0,,,,1.208786
R_2Xgvi8EjA3oVKsW,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.42764,Far,-28.057,44.482,-5.3419,1.370923,0.6913704,0.7758356,-34.59525,44.72676,-14.71113,-34.56742,44.21692,-14.51812,-34.40342,44.22388,-14.54703,359.6483,35.16984,359.1484,-0.352,35.17,-0.8520001,349.7184,28.76423,351.807,-10.282,28.764,-8.193001,4.676077,28.02962,342.8847,4.676,28.03,-17.115,-34.76387,43.14921,-14.15682,0,0,0,0,0,0,,,,1.370923
R_2Xgvi8EjA3oVKsW,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.10403,Far,-28.057,44.482,-5.3419,1.518103,1.015562,1.106618,-34.46241,44.72391,-14.40897,-34.44291,44.21353,-14.22082,-34.284,44.2224,-14.24323,0.9588646,30.44254,359.8475,0.9590001,30.443,-0.152,350.2284,25.53728,352.2637,-9.772,25.537,-7.736001,4.921465,22.84165,343.4752,4.921,22.842,-16.525,-34.62088,43.14921,-13.86651,0,0,0,0,0,0,,,,1.518103
R_2Xgvi8EjA3oVKsW,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.77797,Far,-28.057,44.482,-5.3419,1.651895,1.381284,1.47879,-34.41442,44.72162,-14.04192,-34.40055,44.21181,-13.85911,-34.24463,44.22048,-13.87381,2.317968,25.89149,0.4011399,2.318,25.891,0.401,350.4998,23.49455,351.9707,-9.5,23.495,-8.029,4.847096,19.25063,342.4681,4.847,19.251,-17.532,-34.56586,43.14922,-13.50717,0,0,0,0,0,0,,,,1.651895
R_2Xgvi8EjA3oVKsW,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.52833,Far,-28.057,44.482,-5.3419,1.786013,1.693384,1.793128,-34.4179,44.72374,-13.72798,-34.4178,44.21348,-13.54429,-34.25633,44.21975,-13.5543,1.854819,25.58183,359.9449,1.855,25.582,-0.055,350.0227,21.03553,352.2068,-9.977,21.036,-7.793,5.37601,17.07151,338.0945,5.376,17.072,-21.905,-34.57021,43.14921,-13.19549,0,0,0,0,0,0,,,,1.786013
R_2Xgvi8EjA3oVKsW,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.24932,Far,-28.057,44.482,-5.3419,1.917916,1.996484,2.098464,-34.34589,44.72207,-13.43146,-34.35471,44.21312,-13.24378,-34.19222,44.22092,-13.25392,2.688627,24.73154,359.9526,2.689,24.732,-0.047,349.7959,20.02873,351.8765,-10.204,20.029,-8.123,4.169154,15.14042,339.7613,4.169,15.14,-20.239,-34.50379,43.14921,-12.89993,0,0,0,0,0,0,,,,1.917916
R_2Xgvi8EjA3oVKsW,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,9.958908,Far,-28.057,44.482,-5.3419,2.053555,2.310558,2.415768,-34.26645,44.72154,-13.12426,-34.27797,44.2153,-12.93596,-34.11641,44.21994,-12.94782,2.781685,24.95517,0.3545359,2.782,24.955,0.355,349.2588,20.33679,351.8368,-10.741,20.337,-8.163,4.350231,14.34739,339.7772,4.35,14.347,-20.223,-34.43479,43.14921,-12.59353,0,0,0,0,0,0,,,,2.053555
R_2Xgvi8EjA3oVKsW,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,9.668316,Far,-28.057,44.482,-5.3419,2.186973,2.625066,2.735145,-34.18654,44.72094,-12.81505,-34.19445,44.21589,-12.63273,-34.03798,44.21717,-12.64136,3.256528,25.7394,0.6801375,3.257,25.739,0.68,348.9017,21.36541,351.7463,-11.098,21.365,-8.254001,4.527258,13.99186,339.7274,4.527,13.992,-20.273,-34.36458,43.14921,-12.28696,0,0,0,0,0,0,,,,2.186973
R_2Xgvi8EjA3oVKsW,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,9.375782,Far,-28.057,44.482,-5.3419,2.320296,2.940748,3.055664,-34.09995,44.72108,-12.50646,-34.10981,44.21497,-12.32782,-33.95469,44.21512,-12.33448,3.165749,26.31725,0.9619826,3.166,26.317,0.9620001,348.9083,21.77813,351.7234,-11.092,21.778,-8.277,4.726358,13.71198,339.5722,4.726,13.712,-20.428,-34.28805,43.14922,-11.9807,0,0,0,0,0,0,,,,2.320296
R_2Xgvi8EjA3oVKsW,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,9.082394,Far,-28.057,44.482,-5.3419,2.454177,3.258672,3.376069,-34.00666,44.72229,-12.20001,-34.02435,44.21413,-12.01642,-33.8659,44.2141,-12.02708,2.695665,27.30976,1.122653,2.696,27.31,1.123,349.3265,20.28218,351.812,-10.673,20.282,-8.188001,4.983847,13.21722,339.4517,4.984,13.217,-20.548,-34.20695,43.14921,-11.6733,0,0,0,0,0,0,,,,2.454177
R_2Xgvi8EjA3oVKsW,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,8.777744,Far,-28.057,44.482,-5.3419,2.590279,3.588315,3.706296,-33.90078,44.72186,-11.88724,-33.92083,44.21643,-11.70139,-33.76153,44.2131,-11.71204,2.42975,29.80957,0.899405,2.43,29.81,0.899,348.6162,20.54787,351.6888,-11.384,20.548,-8.311001,4.978716,13.72505,339.102,4.979,13.725,-20.898,-34.11243,43.14921,-11.35753,0,0,0,0,0,0,,,,2.590279
R_2Xgvi8EjA3oVKsW,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,8.47584,Far,-28.057,44.482,-5.3419,2.72393,3.913415,4.0316,-33.78765,44.72167,-11.58226,-33.80648,44.2156,-11.39454,-33.64773,44.21144,-11.40594,2.291488,31.87433,0.6637951,2.291,31.874,0.664,348.6024,21.60311,351.5451,-11.398,21.603,-8.455001,5.318591,14.65374,338.6857,5.319,14.654,-21.314,-34.00668,43.14921,-11.05012,0,0,0,0,0,0,,,,2.72393
R_2Xgvi8EjA3oVKsW,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,8.179321,Far,-28.057,44.482,-5.3419,2.857728,4.230563,4.349255,-33.66869,44.72154,-11.28772,-33.68743,44.21722,-11.0965,-33.52615,44.2108,-11.11124,2.3736,33.47473,0.3199956,2.374,33.475,0.32,348.1765,22.17391,351.5863,-11.823,22.174,-8.414001,5.763735,15.64249,338.3129,5.764,15.642,-21.687,-33.89132,43.14921,-10.75472,0,0,0,0,0,0,,,,2.857728
R_2Xgvi8EjA3oVKsW,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,7.880302,Far,-28.057,44.482,-5.3419,2.991796,4.551455,4.671213,-33.54778,44.72041,-10.98935,-33.56327,44.21909,-10.79702,-33.40176,44.21016,-10.81329,3.217222,34.18384,0.1486251,3.217,34.184,0.149,347.8143,22.83946,351.8657,-12.186,22.839,-8.134001,6.163562,16.44087,338.4062,6.164001,16.441,-21.594,-33.76924,43.14921,-10.45796,0,0,0,0,0,0,,,,2.991796
R_2Xgvi8EjA3oVKsW,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,7.588295,Far,-28.057,44.482,-5.3419,3.126585,4.864731,4.984691,-33.42348,44.72053,-10.70159,-33.43671,44.21964,-10.50936,-33.27686,44.21153,-10.52605,3.33366,35.7973,359.9622,3.334,35.797,-0.038,347.5679,23.53257,352.279,-12.432,23.533,-7.721,6.009013,16.86398,337.4593,6.009,16.864,-22.541,-33.64381,43.14921,-10.17091,0,0,0,0,0,0,,,,3.126585
