userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status,m_CurrentTaskCompletionTime
R_2ZNSxSrh6QGzA4P,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,11.79888,Far,-28.057,44.482,-5.3419,0.02,0,0,-34.82909,44.79245,-14.99882,-35.16,43.152,-14.71,-35.16,43.152,-14.71,2.980909,1.831183,359.6582,2.981,1.831,-0.342,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,,0.02
R_2ZNSxSrh6QGzA4P,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.18594,Far,-28.057,44.482,-5.3419,0.4129972,0.7229381,0.7808397,-35.60161,44.78487,-14.90664,-35.73891,44.36957,-14.75761,-35.58662,44.36161,-14.65126,5.285195,316.7661,358.4648,5.285,-43.234,-1.535,326.0809,333.6008,356.7776,-33.919,-26.399,-3.222,342.3698,327.066,16.81017,-17.63,-32.934,16.81,-35.87049,43.14921,-14.59243,0,0,0,0,0,0,,,,0.4129972
R_2ZNSxSrh6QGzA4P,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.40831,Far,-28.057,44.482,-5.3419,0.7267796,0.9556752,1.013805,-35.79171,44.78749,-15.03969,-35.92884,44.3695,-14.89092,-35.77413,44.36372,-14.78661,3.814759,318.082,358.5192,3.815,-41.918,-1.481,326.0677,333.8556,356.9179,-33.932,-26.144,-3.082,339.4737,328.9811,14.4337,-20.526,-31.019,14.434,-36.0612,43.14921,-14.72581,0,0,0,0,0,0,,,,0.7267796
R_2ZNSxSrh6QGzA4P,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.40915,Far,-28.057,44.482,-5.3419,0.8583254,0.9556752,1.014857,-35.79229,44.78754,-15.0403,-35.92969,44.3692,-14.89195,-35.7742,44.36422,-14.78653,3.706779,318.0537,358.5519,3.707,-41.946,-1.448,326.0668,333.843,356.8185,-33.933,-26.157,-3.181,338.5692,329.6963,13.69536,-21.431,-30.304,13.695,-36.0612,43.14921,-14.72581,0,0,0,0,0,0,,,,0.8583254
R_2ZNSxSrh6QGzA4P,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.40839,Far,-28.057,44.482,-5.3419,0.9821918,0.9556752,1.016138,-35.79163,44.7879,-15.03984,-35.9295,44.3684,-14.89251,-35.77433,44.36363,-14.78653,3.522,318.4231,358.2838,3.522,-41.577,-1.716,326.2635,334.0332,356.6277,-33.736,-25.967,-3.372,338.0164,330.1691,13.04224,-21.984,-29.831,13.042,-36.0612,43.14921,-14.72581,0,0,0,0,0,0,,,,0.9821918
R_2ZNSxSrh6QGzA4P,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.40346,Far,-28.057,44.482,-5.3419,1.108007,0.955679,1.021229,-35.788,44.78769,-15.03643,-35.92863,44.36716,-14.89221,-35.77419,44.36403,-14.78705,3.609229,321.4167,357.9493,3.609,-38.583,-2.051,326.7312,334.514,356.618,-33.269,-25.486,-3.382,337.3752,330.7291,12.69934,-22.625,-29.271,12.699,-36.0612,43.14921,-14.72581,0,0,0,0,0,0,,,,1.108007
R_2ZNSxSrh6QGzA4P,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.38713,Far,-28.057,44.482,-5.3419,1.226348,0.955679,1.038285,-35.77403,44.78728,-15.02669,-35.92598,44.36653,-14.88983,-35.76815,44.36607,-14.7865,3.907261,331.8823,357.5446,3.907,-28.118,-2.455,326.8319,335.2057,356.9688,-33.168,-24.794,-3.031,336.4927,332.0739,12.65864,-23.507,-27.926,12.659,-36.0612,43.14921,-14.72581,0,0,0,0,0,0,,,,1.226348
R_2ZNSxSrh6QGzA4P,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.36902,Far,-28.057,44.482,-5.3419,1.353948,0.955679,1.059586,-35.75415,44.78711,-15.01937,-35.91634,44.36464,-14.88331,-35.75154,44.36902,-14.78475,3.980422,344.6601,358.2426,3.98,-15.34,-1.757,327.2152,337.4497,357.3275,-32.785,-22.55,-2.672,335.4208,335.0847,12.47665,-24.579,-24.915,12.477,-36.0612,43.14921,-14.72581,0,0,0,0,0,0,,,,1.353948
R_2ZNSxSrh6QGzA4P,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.35597,Far,-28.057,44.482,-5.3419,1.484403,0.955679,1.077226,-35.73691,44.78871,-15.01635,-35.89972,44.36404,-14.87261,-35.72463,44.36842,-14.78289,3.168027,355.0736,358.6237,3.168,-4.926,-1.376,327.3878,341.8039,357.1944,-32.612,-18.196,-2.806,334.7134,339.8421,12.18823,-25.287,-20.158,12.188,-36.0612,43.14921,-14.72581,0,0,0,0,0,0,,,,1.484403
R_2ZNSxSrh6QGzA4P,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.34696,Far,-28.057,44.482,-5.3419,1.597764,0.955679,1.091796,-35.72239,44.78912,-15.01635,-35.8816,44.36442,-14.86155,-35.7006,44.36829,-14.78111,2.809397,3.130006,358.8555,2.809,3.13,-1.144,327.3305,346.1761,357.0755,-32.67,-13.824,-2.925,333.4958,346.2336,10.12156,-26.504,-13.766,10.122,-36.0612,43.14921,-14.72581,0,0,0,0,0,0,,,,1.597764
