userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status,m_CurrentTaskCompletionTime
R_2zRQHXlGWgnnCnU,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,11.64103,Far,-28.057,44.482,-5.3419,0.02,0,0,-34.66393,44.78691,-14.92152,-35.16,43.152,-14.71,-35.16,43.152,-14.71,350.9139,331.2858,2.383601,-9.086,-28.714,2.384,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,,0.02
R_2zRQHXlGWgnnCnU,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,11.6378,Far,-28.057,44.482,-5.3419,0.4113045,0.002788544,0.01206424,-34.65966,44.77598,-14.92088,-34.89376,44.32693,-14.74967,-34.70063,44.25172,-14.6506,356.5422,328.5259,1.400451,-3.458,-31.474,1.4,343.4095,331.5736,354.9906,-16.591,-28.426,-5.009,351.8128,324.9122,353.0441,-8.187,-35.088,-6.956,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.4113045
R_2zRQHXlGWgnnCnU,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,11.63846,Far,-28.057,44.482,-5.3419,0.7349883,0.002792358,0.01503947,-34.66091,44.77481,-14.92085,-34.89316,44.32697,-14.75014,-34.6998,44.25292,-14.65205,357.4522,329.5,1.238545,-2.548,-30.5,1.239,343.5191,331.5867,355.1643,-16.481,-28.413,-4.836,351.6319,324.7157,353.0974,-8.368,-35.284,-6.903,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.7349883
R_2zRQHXlGWgnnCnU,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,11.63623,Far,-28.057,44.482,-5.3419,0.8663315,0.002792358,0.01901329,-34.66069,44.77176,-14.91839,-34.89525,44.32529,-14.75076,-34.69787,44.25356,-14.65129,359.5643,330.3441,0.858422,-0.436,-29.656,0.858,343.722,331.2003,355.4058,-16.278,-28.8,-4.594,351.5678,325.0328,353.3145,-8.432,-34.967,-6.685,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.8663315
R_2zRQHXlGWgnnCnU,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,11.63228,Far,-28.057,44.482,-5.3419,0.9873825,0.002792358,0.02827169,-34.66111,44.76397,-14.91353,-34.89623,44.3224,-14.75139,-34.69432,44.25457,-14.65027,4.874012,331.5591,0.4057533,4.874,-28.441,0.406,344.3972,331.1789,356.0288,-15.603,-28.821,-3.971,351.338,325.478,353.4881,-8.662001,-34.522,-6.512,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.9873825
R_2zRQHXlGWgnnCnU,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,11.62858,Far,-28.057,44.482,-5.3419,1.111332,0.002792358,0.04066749,-34.66275,44.753,-14.90822,-34.89476,44.31623,-14.74957,-34.68896,44.25382,-14.64948,11.92718,332.0819,0.1834407,11.927,-27.918,0.183,345.6192,331.2971,356.5605,-14.381,-28.703,-3.44,351.5612,326.1972,354.0533,-8.439,-33.803,-5.947001,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.111332
R_2zRQHXlGWgnnCnU,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,11.72824,Far,-28.057,44.482,-5.3419,1.229016,0.1483123,0.1896036,-34.80756,44.74808,-14.92891,-35.03537,44.31512,-14.77112,-34.82932,44.25355,-14.67344,14.9547,331.8832,359.8848,14.955,-28.117,-0.115,345.5863,331.8759,356.6481,-14.414,-28.124,-3.352,351.6497,326.6063,354.1254,-8.35,-33.394,-5.875,-35.30363,43.14921,-14.73339,0,0,0,0,0,0,,,,1.229016
R_2zRQHXlGWgnnCnU,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,11.90286,Far,-28.057,44.482,-5.3419,1.361414,0.3935377,0.4369471,-35.05149,44.7426,-14.96932,-35.27532,44.31097,-14.81113,-35.06963,44.2512,-14.71745,18.36122,331.0833,359.831,18.361,-28.917,-0.169,346.1693,332.2584,356.6137,-13.831,-27.742,-3.386,352.0392,326.7009,354.2152,-7.961,-33.299,-5.785,-35.5451,43.14921,-14.77608,0,0,0,0,0,0,,,,1.361414
R_2zRQHXlGWgnnCnU,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,11.90493,Far,-28.057,44.482,-5.3419,1.481963,0.3935415,0.4454226,-35.05628,44.73589,-14.96857,-35.27655,44.31281,-14.80798,-35.07035,44.25303,-14.71785,22.07622,328.4447,359.4608,22.076,-31.555,-0.539,345.5955,332.2539,356.9742,-14.405,-27.746,-3.026,351.6826,326.7304,354.0362,-8.317,-33.27,-5.964,-35.5451,43.14921,-14.77608,0,0,0,0,0,0,,,,1.481963
R_2zRQHXlGWgnnCnU,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,11.90822,Far,-28.057,44.482,-5.3419,1.613895,0.3935415,0.4540247,-35.06116,44.72918,-14.96927,-35.27562,44.31408,-14.80268,-35.07447,44.25394,-14.71994,25.58716,325.3116,358.5972,25.587,-34.688,-1.403,344.9636,332.6321,356.7745,-15.036,-27.368,-3.226,351.5786,325.874,354.0789,-8.421,-34.126,-5.921,-35.5451,43.14921,-14.77608,0,0,0,0,0,0,,,,1.613895
