userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status,m_CurrentTaskCompletionTime
R_3Q0oMNTyHmCrAMk,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.28836,Far,-28.057,44.482,-5.3419,0.02,0,0,-35.15755,44.69935,-15.36881,-35.16,43.152,-14.71,-35.16,43.152,-14.71,359.6021,0.01303069,0.05820362,-0.398,0.013,0.058,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,,0.02
R_3Q0oMNTyHmCrAMk,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.88615,Far,-28.057,44.482,-5.3419,0.4111975,0.6503795,0.6455196,-35.69138,44.68558,-15.7211,-35.8222,44.33881,-15.47204,-35.529,44.34096,-15.4817,6.295945,0.5089833,359.1711,6.296,0.509,-0.8290001,342.2667,354.1761,0.335756,-17.733,-5.824,0.336,327.8235,9.136115,356.5683,-32.177,9.136001,-3.432,-35.69638,43.14921,-15.06761,0,0,0,0,0,0,,,,0.4111975
R_3Q0oMNTyHmCrAMk,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,13.22721,Far,-28.057,44.482,-5.3419,0.7553638,1.20367,1.201363,-36.2468,44.68624,-15.72672,-36.37544,44.33847,-15.48728,-36.0839,44.34006,-15.49351,5.906688,0.7236537,0.1102041,5.907,0.724,0.11,344.0577,352.8058,3.222889,-15.942,-7.194,3.223,328.1101,8.671628,356.5105,-31.89,8.672001,-3.49,-36.24894,43.14921,-15.08039,0,0,0,0,0,0,,,,0.7553638
R_3Q0oMNTyHmCrAMk,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,13.34802,Far,-28.057,44.482,-5.3419,0.8854027,1.396583,1.394695,-36.44013,44.68643,-15.72703,-36.57156,44.34068,-15.48557,-36.27694,44.34113,-15.4932,5.767406,0.7471831,0.08912169,5.767,0.747,0.089,343.7581,352.9482,2.652952,-16.242,-7.052001,2.653,328.1699,8.912125,356.5146,-31.83,8.912001,-3.485,-36.44185,43.14921,-15.08039,0,0,0,0,0,0,,,,0.8854027
R_3Q0oMNTyHmCrAMk,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,13.47215,Far,-28.057,44.482,-5.3419,1.008206,1.591316,1.590528,-36.63596,44.68606,-15.7274,-36.76643,44.3388,-15.48679,-36.47356,44.33549,-15.48993,5.944175,0.8518575,0.256406,5.944,0.8520001,0.256,343.5782,353.0259,1.941192,-16.422,-6.974,1.941,331.4434,7.948733,354.0999,-28.557,7.949,-5.9,-36.63658,43.14921,-15.08039,0,0,0,0,0,0,,,,1.008206
R_3Q0oMNTyHmCrAMk,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,13.59358,Far,-28.057,44.482,-5.3419,1.132092,1.778717,1.779385,-36.82477,44.68222,-15.72802,-36.95326,44.33899,-15.48762,-36.6613,44.33475,-15.49091,8.450142,0.5503063,0.3794036,8.450001,0.55,0.379,343.2396,353.3164,1.433331,-16.76,-6.684,1.433,331.8541,8.163902,354.4911,-28.146,8.164001,-5.509,-36.82398,43.14921,-15.08039,0,0,0,0,0,0,,,,1.132092
R_3Q0oMNTyHmCrAMk,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,13.71613,Far,-28.057,44.482,-5.3419,1.252057,1.966537,1.968873,-37.01412,44.67545,-15.72771,-37.14068,44.34251,-15.49014,-36.84971,44.33897,-15.49423,12.11985,359.8099,0.7590418,12.12,-0.19,0.7590001,342.4038,353.4208,1.551182,-17.596,-6.579,1.551,330.7713,7.799077,355.2346,-29.229,7.799,-4.765,-37.0118,43.14921,-15.08039,0,0,0,0,0,0,,,,1.252057
R_3Q0oMNTyHmCrAMk,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,13.83568,Far,-28.057,44.482,-5.3419,1.36939,2.146355,2.150522,-37.19569,44.67084,-15.72818,-37.32125,44.34404,-15.49393,-37.03004,44.34093,-15.49873,14.45069,357.9357,0.1605521,14.451,-2.064,0.161,341.8736,353.1414,1.526201,-18.126,-6.859,1.526,330.025,7.232304,355.9595,-29.975,7.232,-4.04,-37.19162,43.14921,-15.08039,0,0,0,0,0,0,,,,1.36939
R_3Q0oMNTyHmCrAMk,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,13.95497,Far,-28.057,44.482,-5.3419,1.50011,2.324093,2.328048,-37.3732,44.66958,-15.73009,-37.49932,44.3434,-15.49634,-37.21089,44.33897,-15.50164,15.3107,357.1173,0.1844437,15.311,-2.883,0.184,342.046,353.0021,1.026563,-17.954,-6.998,1.027,330.0367,5.772611,357.8384,-29.963,5.773,-2.162,-37.36936,43.14921,-15.08039,0,0,0,0,0,0,,,,1.50011
R_3Q0oMNTyHmCrAMk,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,14.0936,Far,-28.057,44.482,-5.3419,1.634685,2.529278,2.531816,-37.57694,44.66944,-15.73254,-37.70189,44.34375,-15.49891,-37.41826,44.33937,-15.50451,15.47536,356.3315,359.3979,15.475,-3.668,-0.6020001,341.8744,353.4296,0.7604749,-18.126,-6.57,0.7600001,329.5368,4.719259,358.7143,-30.463,4.719,-1.286,-37.57454,43.14921,-15.08039,0,0,0,0,0,0,,,,1.634685
R_3Q0oMNTyHmCrAMk,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,14.20225,Far,-28.057,44.482,-5.3419,1.754777,2.689072,2.690214,-37.73532,44.66877,-15.73417,-37.86015,44.34471,-15.50127,-37.57529,44.34007,-15.50641,15.9099,355.7547,359.168,15.91,-4.245,-0.832,341.6693,353.5723,0.5440931,-18.331,-6.428,0.544,329.2802,5.311663,358.091,-30.72,5.312,-1.909,-37.73434,43.14921,-15.08039,0,0,0,0,0,0,,,,1.754777
R_3Q0oMNTyHmCrAMk,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,14.3136,Far,-28.057,44.482,-5.3419,1.872032,2.853447,2.853235,-37.89832,44.67101,-15.73382,-38.02402,44.34433,-15.5016,-37.73649,44.33838,-15.50675,14.56143,355.8938,358.9403,14.561,-4.106,-1.06,341.5974,353.475,0.4426976,-18.403,-6.525,0.443,329.5513,5.785023,358.1505,-30.449,5.785,-1.849,-37.89871,43.14921,-15.08039,0,0,0,0,0,0,,,,1.872032
R_3Q0oMNTyHmCrAMk,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,14.431,Far,-28.057,44.482,-5.3419,2.000068,3.024025,3.023287,-38.06834,44.67397,-15.73372,-38.19216,44.34314,-15.5006,-37.90522,44.33751,-15.50691,12.71912,356.0851,359.0868,12.719,-3.915,-0.913,341.8127,353.8988,0.2354325,-18.187,-6.101,0.235,329.6782,6.013505,358.1729,-30.322,6.014,-1.827,-38.06929,43.14921,-15.08039,0,0,0,0,0,0,,,,2.000068
R_3Q0oMNTyHmCrAMk,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,14.56029,Far,-28.057,44.482,-5.3419,2.138879,3.21019,3.209145,-38.25418,44.6761,-15.73334,-38.37742,44.34549,-15.49885,-38.091,44.3384,-15.50551,11.12616,357.2959,359.8057,11.126,-2.704,-0.194,341.2646,354.1467,0.4279414,-18.735,-5.853,0.428,329.5105,6.171392,358.1589,-30.49,6.171,-1.841,-38.25546,43.14921,-15.08039,0,0,0,0,0,0,,,,2.138879
R_3Q0oMNTyHmCrAMk,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,14.69417,Far,-28.057,44.482,-5.3419,2.272444,3.399635,3.399759,-38.44478,44.67747,-15.73297,-38.56855,44.34623,-15.49846,-38.28188,44.34008,-15.50416,10.41573,356.7708,359.7532,10.416,-3.229,-0.247,341.1085,353.9631,0.5623389,-18.892,-6.037,0.562,329.2442,5.891283,358.3578,-30.756,5.891,-1.642,-38.4449,43.14921,-15.08039,0,0,0,0,0,0,,,,2.272444
R_3Q0oMNTyHmCrAMk,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,14.82573,Far,-28.057,44.482,-5.3419,2.407062,3.579334,3.584756,-38.62976,44.68011,-15.73323,-38.75187,44.34497,-15.49949,-38.46416,44.3378,-15.50228,8.81881,351.9228,358.7843,8.819,-8.077001,-1.216,341.4544,353.1885,0.3084653,-18.546,-6.811,0.308,329.5583,5.394625,358.3409,-30.442,5.395,-1.659,-38.6246,43.14921,-15.08039,0,0,0,0,0,0,,,,2.407062
R_3Q0oMNTyHmCrAMk,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,14.94033,Far,-28.057,44.482,-5.3419,2.539128,3.731064,3.741416,-38.78635,44.68257,-15.73682,-38.90431,44.34443,-15.50078,-38.61703,44.33624,-15.50241,7.416692,346.9586,358.5887,7.417,-13.041,-1.411,341.7435,352.9073,359.9742,-18.257,-7.093,-0.026,329.7596,5.035499,358.0603,-30.24,5.035,-1.94,-38.77633,43.14921,-15.08039,0,0,0,0,0,0,,,,2.539128
R_3Q0oMNTyHmCrAMk,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,15.03499,Far,-28.057,44.482,-5.3419,2.658118,3.857033,3.868345,-38.91316,44.68436,-15.74159,-39.02827,44.34601,-15.50231,-38.74094,44.33513,-15.50362,6.198261,345.07,359.0893,6.198,-14.93,-0.9110001,341.4843,353.0385,359.886,-18.516,-6.962,-0.114,329.9058,5.193934,357.8777,-30.094,5.194,-2.122,-38.9023,43.14921,-15.08039,0,0,0,0,0,0,,,,2.658118
R_3Q0oMNTyHmCrAMk,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,15.12152,Far,-28.057,44.482,-5.3419,2.776531,3.974594,3.983396,-39.02808,44.68552,-15.74644,-39.1432,44.34799,-15.50475,-38.8565,44.33641,-15.50596,5.451712,346.6824,359.8849,5.452,-13.318,-0.115,341.1532,353.504,359.7241,-18.847,-6.496,-0.276,329.6785,5.450121,357.7693,-30.322,5.45,-2.231,-39.01986,43.14921,-15.08039,0,0,0,0,0,0,,,,2.776531
R_3Q0oMNTyHmCrAMk,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,15.22618,Far,-28.057,44.482,-5.3419,2.908816,4.117104,4.122146,-39.16669,44.6876,-15.75194,-39.28532,44.35065,-15.50711,-38.99808,44.33976,-15.5088,4.272883,349.5962,359.9725,4.273,-10.404,-0.028,340.7007,353.627,359.9656,-19.299,-6.373,-0.034,329.1676,5.495956,357.8058,-30.832,5.496,-2.194,-39.16237,43.14922,-15.08039,0,0,0,0,0,0,,,,2.908816
R_3Q0oMNTyHmCrAMk,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,15.3414,Far,-28.057,44.482,-5.3419,3.052232,4.272038,4.275729,-39.32021,44.68892,-15.75611,-39.4411,44.35202,-15.50872,-39.1535,44.3412,-15.51038,3.582854,351.04,0.1871095,3.583,-8.96,0.187,340.6113,353.6355,359.8484,-19.389,-6.365,-0.152,329.0184,5.509567,357.9165,-30.982,5.51,-2.083,-39.3173,43.14921,-15.08039,0,0,0,0,0,0,,,,3.052232
R_3Q0oMNTyHmCrAMk,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,15.46023,Far,-28.057,44.482,-5.3419,3.184754,4.429714,4.434808,-39.47926,44.68953,-15.7586,-39.59906,44.35178,-15.51059,-39.31409,44.34054,-15.51277,3.44606,351.25,0.3887184,3.446,-8.75,0.389,340.7133,353.7423,359.8203,-19.287,-6.258,-0.18,329.2405,5.099464,358.0757,-30.759,5.099,-1.924,-39.47498,43.14921,-15.08039,0,0,0,0,0,0,,,,3.184754
