userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status,m_CurrentTaskCompletionTime
R_3suo57d4bsEdJOU,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.2359,Far,-28.057,44.482,-5.3419,0.02,0,0,-35.04552,44.75943,-15.38186,-35.16,43.152,-14.71,-35.16,43.152,-14.71,17.59336,1.065076,0.9171014,17.593,1.065,0.9170001,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,,0.02
R_3suo57d4bsEdJOU,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.23601,Far,-28.057,44.482,-5.3419,0.4152173,0.002788544,0.03746561,-35.06237,44.78071,-15.36964,-35.15731,44.20621,-15.18563,-34.99803,44.19222,-15.20162,0.7076004,6.843602,357.9976,0.708,6.844,-2.002,347.909,9.275064,0.8727317,-12.091,9.275001,0.873,352.2954,340.2105,351.9306,-7.705,-19.789,-8.069,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.4152173
R_3suo57d4bsEdJOU,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.23004,Far,-28.057,44.482,-5.3419,0.7564577,0.002788544,0.06916322,-35.04628,44.76981,-15.3739,-35.15525,44.20824,-15.18409,-34.97814,44.19747,-15.19561,8.871186,19.43783,359.441,8.871,19.438,-0.559,347.3407,9.065504,1.447734,-12.659,9.066,1.448,352.0794,346.9076,349.9829,-7.921,-13.092,-10.017,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.7564577
R_3suo57d4bsEdJOU,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.22399,Far,-28.057,44.482,-5.3419,0.908945,0.002792358,0.08419177,-35.03192,44.76663,-15.37662,-35.15569,44.20869,-15.18136,-34.96741,44.20317,-15.18825,11.01848,30.19293,0.8501859,11.018,30.193,0.85,347.2591,8.561212,2.038989,-12.741,8.561001,2.039,351.6053,352.8655,345.105,-8.395,-7.134,-14.895,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.908945
R_3suo57d4bsEdJOU,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,12.21937,Far,-28.057,44.482,-5.3419,1.068051,0.002792358,0.09020708,-35.02868,44.7653,-15.37327,-35.15272,44.20742,-15.1785,-34.95427,44.2071,-15.18357,11.88888,31.51194,0.5089058,11.889,31.512,0.509,347.602,9.50708,1.804283,-12.398,9.507001,1.804,350.682,357.1671,343.5559,-9.318001,-2.833,-16.444,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.068051
R_3suo57d4bsEdJOU,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.83024,Far,-28.057,44.482,-5.3419,1.234183,0.3879326,0.4798928,-34.79143,44.76492,-15.06414,-34.91678,44.20824,-14.8712,-34.70553,44.2049,-14.87479,12.43495,30.70595,359.7611,12.435,30.706,-0.239,347.4678,9.220422,1.934186,-12.532,9.22,1.934,352.1132,1.149295,341.9504,-7.887001,1.149,-18.05,-34.9238,43.14921,-14.4058,0,0,0,0,0,0,,,,1.234183
R_3suo57d4bsEdJOU,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,11.39287,Far,-28.057,44.482,-5.3419,1.418795,0.8280944,0.9212533,-34.49666,44.76604,-14.73592,-34.62209,44.20736,-14.54533,-34.39644,44.20028,-14.54356,11.65121,29.63581,359.6237,11.651,29.636,-0.376,347.7163,8.572091,2.385457,-12.284,8.572001,2.385,353.9702,4.731571,340.6497,-6.03,4.732,-19.35,-34.6277,43.14922,-14.08033,0,0,0,0,0,0,,,,1.418795
R_3suo57d4bsEdJOU,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.97869,Far,-28.057,44.482,-5.3419,1.582341,1.249281,1.342093,-34.20278,44.7681,-14.43471,-34.32743,44.20887,-14.24175,-34.09778,44.20116,-14.2411,10.84859,28.78564,358.9874,10.849,28.786,-1.013,347.4073,7.991048,2.738391,-12.593,7.991,2.738,353.5598,4.913202,341.308,-6.440001,4.913,-18.692,-34.33269,43.14921,-13.77972,0,0,0,0,0,0,,,,1.582341
R_3suo57d4bsEdJOU,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.59808,Far,-28.057,44.482,-5.3419,1.748605,1.635506,1.727877,-33.93899,44.76821,-14.15324,-34.05927,44.20887,-13.96168,-33.83443,44.20487,-13.96205,11.02586,26.23854,358.7199,11.026,26.239,-1.28,347.4359,8.253155,3.060537,-12.564,8.253,3.061,351.481,2.654319,343.2654,-8.519,2.654,-16.735,-34.06556,43.14921,-13.5008,0,0,0,0,0,0,,,,1.748605
R_3suo57d4bsEdJOU,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,10.28413,Far,-28.057,44.482,-5.3419,1.883991,1.952148,2.044515,-33.7317,44.76831,-13.9139,-33.85121,44.20976,-13.72404,-33.6302,44.20933,-13.72525,10.90016,24.11693,358.4897,10.9,24.117,-1.51,347.1909,7.7688,3.158783,-12.809,7.769001,3.159,348.9375,0.1262187,345.3828,-11.063,0.126,-14.617,-33.85566,43.14921,-13.26375,0,0,0,0,0,0,,,,1.883991
R_3suo57d4bsEdJOU,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,9.967653,Far,-28.057,44.482,-5.3419,2.015546,2.270889,2.362373,-33.53407,44.76804,-13.665,-33.65228,44.20966,-13.47698,-33.43675,44.21106,-13.47773,11.24667,21.55343,358.2358,11.247,21.553,-1.764,347.3207,7.359807,3.234526,-12.679,7.36,3.235,347.7316,357.8851,347.4781,-12.268,-2.115,-12.522,-33.6552,43.14921,-13.01597,0,0,0,0,0,0,,,,2.015546
R_3suo57d4bsEdJOU,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,9.668871,Far,-28.057,44.482,-5.3419,2.149584,2.572518,2.661533,-33.36036,44.76838,-13.42147,-33.4766,44.21036,-13.23326,-33.2662,44.21208,-13.23511,11.13037,19.69381,358.3314,11.13,19.694,-1.669,347.0961,7.063364,3.225298,-12.904,7.063,3.225,347.0022,355.8539,349.0766,-12.998,-4.146,-10.923,-33.47878,43.14921,-12.77136,0,0,0,0,0,0,,,,2.149584
R_3suo57d4bsEdJOU,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,9.360347,Far,-28.057,44.482,-5.3419,2.282154,2.884079,2.970281,-33.19412,44.76875,-13.16135,-33.30888,44.21049,-12.97235,-33.10306,44.21363,-12.97577,10.91085,18.82052,358.2307,10.911,18.821,-1.769,347.0668,6.821185,3.210791,-12.933,6.821,3.211,346.2377,353.984,350.168,-13.762,-6.016,-9.832001,-33.31016,43.14921,-12.50943,0,0,0,0,0,0,,,,2.282154
R_3suo57d4bsEdJOU,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,9.070379,Far,-28.057,44.482,-5.3419,2.40774,3.181264,3.26361,-33.06912,44.76926,-12.89623,-33.18088,44.21203,-12.70532,-32.97899,44.21329,-12.70901,10.53623,17.4829,358.3169,10.536,17.483,-1.683,346.7401,6.549599,3.422703,-13.26,6.55,3.423,346.0077,352.7899,350.8155,-13.992,-7.210001,-9.185,-33.1816,43.14921,-12.24172,0,0,0,0,0,0,,,,2.40774
R_3suo57d4bsEdJOU,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,8.80053,Far,-28.057,44.482,-5.3419,2.541418,3.462078,3.541168,-32.97228,44.76972,-12.63619,-33.0839,44.21299,-12.44387,-32.88352,44.21324,-12.44677,10.26555,17.06211,358.5121,10.266,17.062,-1.488,346.3941,5.854733,3.80088,-13.606,5.855,3.801,346.2724,352.5127,350.1791,-13.728,-7.487,-9.821,-33.08227,43.14921,-11.97913,0,0,0,0,0,0,,,,2.541418
R_3suo57d4bsEdJOU,Experiment,Trial2,Walk,Tutorial,Walk,0,Task0,8.547069,Far,-28.057,44.482,-5.3419,2.674487,3.73057,3.808746,-32.89994,44.76957,-12.37863,-33.01022,44.21343,-12.18673,-32.81034,44.21439,-12.18859,10.24079,15.63868,358.2607,10.241,15.639,-1.739,346.2189,5.519055,3.884919,-13.781,5.519,3.885,345.9624,352.2874,349.9693,-14.038,-7.713,-10.031,-33.00656,43.14922,-11.7216,0,0,0,0,0,0,,,,2.674487
