userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status,m_CurrentTaskCompletionTime
R_SVKfcoMSMff6RMt,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.02563,Far,-28.057,44.482,-5.3419,0.02,0,0,-35.02385,44.70622,-15.14132,-35.16,43.152,-14.71,-35.16,43.152,-14.71,358.9768,355.1104,358.3649,-1.023,-4.89,-1.635,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,,0.02
R_SVKfcoMSMff6RMt,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.04037,Far,-28.057,44.482,-5.3419,0.4157078,0.002792358,0.01931119,-35.03778,44.70553,-15.1495,-35.18002,44.46782,-14.94207,-34.95279,44.44434,-14.90036,359.1322,354.4472,358.7115,-0.868,-5.553,-1.288,314.2259,343.5977,15.95508,-45.774,-16.402,15.955,318.3261,357.1468,4.387771,-41.674,-2.853,4.388,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.4157078
R_SVKfcoMSMff6RMt,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.04338,Far,-28.057,44.482,-5.3419,0.745462,0.002792358,0.02282089,-35.03966,44.70509,-15.15188,-35.18291,44.46704,-14.94433,-34.95472,44.44271,-14.90269,359.5559,354.154,358.7081,-0.444,-5.846,-1.292,314.3868,343.2698,15.80666,-45.613,-16.73,15.807,318.557,356.7717,4.646014,-41.443,-3.228,4.646,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.745462
R_SVKfcoMSMff6RMt,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.04515,Far,-28.057,44.482,-5.3419,0.8705755,0.002792358,0.02469656,-35.04049,44.70476,-15.15347,-35.18337,44.46745,-14.94538,-34.95577,44.44366,-14.90375,359.7975,353.7907,358.8161,-0.202,-6.209,-1.184,314.4031,343.2716,15.83408,-45.597,-16.728,15.834,318.4393,356.6155,4.729425,-41.561,-3.385,4.729,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.8705755
R_SVKfcoMSMff6RMt,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.04728,Far,-28.057,44.482,-5.3419,1.005175,0.002792358,0.02755932,-35.04047,44.70462,-15.1561,-35.1834,44.46793,-14.947,-34.95716,44.44389,-14.90498,359.7809,353.5558,358.8786,-0.219,-6.444,-1.121,314.3461,343.3985,15.71489,-45.654,-16.602,15.715,318.435,356.3304,4.864204,-41.565,-3.67,4.864,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.005175
R_SVKfcoMSMff6RMt,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.04962,Far,-28.057,44.482,-5.3419,1.138369,0.002792358,0.03177857,-35.03931,44.70389,-15.15982,-35.18427,44.46817,-14.94875,-34.9592,44.44449,-14.90653,359.6718,353.2631,358.8382,-0.328,-6.737,-1.162,314.2666,343.4161,15.56211,-45.733,-16.584,15.562,318.3411,355.9597,4.921972,-41.659,-4.04,4.922,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.138369
R_SVKfcoMSMff6RMt,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.05242,Far,-28.057,44.482,-5.3419,1.27899,0.002792358,0.0354681,-35.03932,44.70367,-15.16325,-35.18536,44.46862,-14.95104,-34.96136,44.44492,-14.90816,359.5501,352.9113,358.8658,-0.45,-7.089,-1.134,314.1418,343.3361,15.53149,-45.858,-16.664,15.531,318.2807,355.528,5.095373,-41.719,-4.472,5.095,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.27899
R_SVKfcoMSMff6RMt,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.05548,Far,-28.057,44.482,-5.3419,1.420038,0.002792358,0.03929397,-35.03952,44.70328,-15.16687,-35.18706,44.46838,-14.95277,-34.96341,44.44527,-14.90961,359.3983,352.7563,359.0077,-0.6020001,-7.244,-0.992,314.231,343.1422,15.60062,-45.769,-16.858,15.601,318.2798,355.214,5.303993,-41.72,-4.786,5.304,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.420038
R_SVKfcoMSMff6RMt,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.05707,Far,-28.057,44.482,-5.3419,1.553526,0.002792358,0.04220776,-35.03917,44.70278,-15.16909,-35.18762,44.46843,-14.95409,-34.96465,44.44556,-14.91102,359.4925,352.8786,358.968,-0.507,-7.121,-1.032,314.2581,343.3177,15.5084,-45.742,-16.682,15.508,318.3072,355.0519,5.405174,-41.693,-4.948,5.405,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.553526
R_SVKfcoMSMff6RMt,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.05882,Far,-28.057,44.482,-5.3419,1.688441,0.002792358,0.04504668,-35.03938,44.70244,-15.17109,-35.18943,44.46848,-14.95504,-34.96601,44.44605,-14.91259,359.4459,353.1246,358.8579,-0.554,-6.875,-1.142,314.2728,343.2194,15.60813,-45.727,-16.781,15.608,318.2409,354.9763,5.515938,-41.759,-5.024,5.516,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.688441
R_SVKfcoMSMff6RMt,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.06042,Far,-28.057,44.482,-5.3419,1.822792,0.002792358,0.04758948,-35.04032,44.70195,-15.1724,-35.19044,44.46764,-14.95526,-34.96609,44.44588,-14.91371,359.4168,353.2596,358.9763,-0.583,-6.74,-1.024,314.4183,343.2397,15.71114,-45.582,-16.76,15.711,318.296,355.214,5.519942,-41.704,-4.786,5.52,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.822792
R_SVKfcoMSMff6RMt,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.06102,Far,-28.057,44.482,-5.3419,1.977295,0.002792358,0.04992829,-35.04096,44.70107,-15.1727,-35.19113,44.46645,-14.95579,-34.96593,44.44461,-14.91461,359.5838,353.4922,358.9332,-0.416,-6.508,-1.067,314.5876,343.4109,15.6708,-45.412,-16.589,15.671,318.4716,355.4843,5.566323,-41.528,-4.516,5.566,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.977295
R_SVKfcoMSMff6RMt,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.06084,Far,-28.057,44.482,-5.3419,2.113151,0.002792358,0.05236468,-35.04049,44.70046,-15.17282,-35.19216,44.46592,-14.9552,-34.96643,44.4439,-14.91481,359.745,353.7339,358.7276,-0.255,-6.266,-1.272,314.8076,343.5022,15.72698,-45.192,-16.498,15.727,318.6315,355.6916,5.51781,-41.369,-4.308,5.518,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,2.113151
R_SVKfcoMSMff6RMt,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.06043,Far,-28.057,44.482,-5.3419,2.24803,0.002792358,0.05432899,-35.03988,44.69983,-15.17277,-35.19206,44.46533,-14.95443,-34.9664,44.4434,-14.91492,359.8748,354.2585,358.6344,-0.125,-5.741,-1.366,314.8797,343.7946,15.62139,-45.12,-16.205,15.621,318.7141,356.0049,5.426845,-41.286,-3.995,5.427,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,2.24803
