userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status,m_CurrentTaskCompletionTime
R_pQU0HOKd3SaTovD,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,11.86219,Far,-28.057,44.482,-5.3419,0.02,0,0,-35.02062,44.62439,-14.94395,-35.16,43.152,-14.71,-35.16,43.152,-14.71,23.84948,357.8801,357.11,23.849,-2.12,-2.89,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,,0.02
R_pQU0HOKd3SaTovD,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,11.88299,Far,-28.057,44.482,-5.3419,0.4092558,0.002792358,0.04301529,-35.03101,44.6562,-14.96159,-35.14763,44.28296,-14.7659,-34.89353,44.27668,-14.72075,7.495258,357.0879,359.4996,7.495,-2.912,-0.5,329.3009,349.1716,358.3926,-30.699,-10.828,-1.607,335.6252,15.77577,346.8975,-24.375,15.776,-13.103,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.4092558
R_pQU0HOKd3SaTovD,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,11.88843,Far,-28.057,44.482,-5.3419,0.7739314,0.002792358,0.05235669,-35.03267,44.65194,-14.96717,-35.1476,44.28453,-14.76729,-34.89469,44.28036,-14.7232,9.048063,356.196,359.5623,9.048,-3.804,-0.438,329.142,349.2074,358.6943,-30.858,-10.793,-1.306,335.0464,15.07586,347.6001,-24.954,15.076,-12.4,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.7739314
R_pQU0HOKd3SaTovD,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,11.88928,Far,-28.057,44.482,-5.3419,0.902263,0.002792358,0.05752636,-35.03383,44.64709,-14.96747,-35.14559,44.28713,-14.76832,-34.89797,44.28246,-14.72439,11.11212,355.7293,359.5666,11.112,-4.271,-0.433,328.5374,349.8262,358.4944,-31.463,-10.174,-1.506,334.5042,13.73128,348.7661,-25.496,13.731,-11.234,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,0.902263
R_pQU0HOKd3SaTovD,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,11.89022,Far,-28.057,44.482,-5.3419,1.02582,0.002792358,0.06128819,-35.03541,44.64378,-14.96755,-35.1468,44.2895,-14.76997,-34.89947,44.28507,-14.72746,12.82602,354.4322,359.5444,12.826,-5.568,-0.456,327.9492,349.374,358.518,-32.051,-10.626,-1.482,333.5663,13.00201,349.1342,-26.434,13.002,-10.866,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.02582
R_pQU0HOKd3SaTovD,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,11.8909,Far,-28.057,44.482,-5.3419,1.150991,0.002792358,0.06295689,-35.03674,44.64297,-14.96743,-35.14745,44.28839,-14.77116,-34.90056,44.28402,-14.72904,13.2974,353.0549,359.1824,13.297,-6.945,-0.818,328.1462,349.3817,358.2063,-31.854,-10.618,-1.794,333.3876,12.78242,349.4652,-26.612,12.782,-10.535,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.150991
R_pQU0HOKd3SaTovD,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,11.89072,Far,-28.057,44.482,-5.3419,1.283159,0.002792358,0.06470893,-35.03696,44.64169,-14.96707,-35.1459,44.28675,-14.77297,-34.89964,44.28329,-14.72945,14.12455,352.2669,359.0252,14.125,-7.733,-0.975,328.2997,350.9125,356.967,-31.7,-9.087001,-3.033,333.5016,13.44691,349.0652,-26.498,13.447,-10.935,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.283159
R_pQU0HOKd3SaTovD,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,11.89039,Far,-28.057,44.482,-5.3419,1.415951,0.002792358,0.06604859,-35.03596,44.641,-14.96739,-35.14678,44.28559,-14.77417,-34.89952,44.28264,-14.73073,14.67756,352.6286,358.825,14.678,-7.371,-1.175,328.5711,351.3017,356.4986,-31.429,-8.698,-3.501,333.5317,13.42273,349.0727,-26.468,13.423,-10.927,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.415951
R_pQU0HOKd3SaTovD,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,11.89025,Far,-28.057,44.482,-5.3419,1.551342,0.002792358,0.06710058,-35.03564,44.64016,-14.96748,-35.14512,44.28392,-14.77397,-34.89927,44.28115,-14.73213,15.12277,352.4196,358.7634,15.123,-7.58,-1.237,329.1357,352.8588,355.7346,-30.864,-7.141,-4.265,333.7752,13.42301,349.2107,-26.225,13.423,-10.789,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.551342
R_pQU0HOKd3SaTovD,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,11.88963,Far,-28.057,44.482,-5.3419,1.685038,0.002792358,0.06848384,-35.03526,44.63909,-14.967,-35.14337,44.28455,-14.77465,-34.89955,44.28062,-14.73376,15.78619,352.455,358.6942,15.786,-7.545001,-1.306,329.0316,353.6969,356.2989,-30.968,-6.303,-3.701,333.738,13.20769,349.5351,-26.262,13.208,-10.465,-35.16,43.14921,-14.71,0,0,0,0,0,0,,,,1.685038
