userName,cohort,trial,PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,TaskNumber,ActiveTask,DistanceToCurrentIndicatorCube,ProximityToCurrentIndicatorCube,CurrentTargetCubeIndicator.x,CurrentTargetCubeIndicator.y,CurrentTargetCubeIndicator.z,elapsedTime,TotalDistanceTraveledCameraRig,m_TotalDistanceTraveledHeadset,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,headset.euler.x,headset.euler.y,headset.euler.z,headset.InspectorRotation.x,headset.InspectorRotation.y,headset.InspectorRotation.z,leftController.euler.x,leftController.euler.y,leftController.euler.z,leftController.InspectorRotation.x,leftController.InspectorRotation.y,leftController.InspectorRotation.z,rightController.euler.x,rightController.euler.y,rightController.euler.z,rightController.InspectorRotation.x,rightController.InspectorRotation.y,rightController.InspectorRotation.z,cameraRig x,cameraRig y,cameraRig z,cameraRig.euler.x,cameraRig.euler.y,cameraRig.euler.z,cameraRig.InspectorRotation.x,cameraRig.InspectorRotation.y,cameraRig.InspectorRotation.z,m_EventType,m_Side,m_Status,m_CurrentTaskCompletionTime
R_1234567890,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.68507,Far,-28.057,44.482,-5.3419,0.02,0,0,-34.59966,44.4068,-16.20924,-35.16,43.152,-14.71,-35.16,43.152,-14.71,346.7128,106.2932,347.0601,-13.287,106.293,-12.94,0,0,0,0,0,0,0,0,0,0,0,0,-35.16,43.152,-14.71,0,0,0,0,0,0,,,,0.02
R_1234567890,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.27251,Far,-28.057,44.482,-5.3419,0.4837447,0.5020237,0.5214728,-34.61919,44.40268,-15.71234,-34.83857,43.79913,-16.10582,-34.89733,43.70448,-16.16997,348.6479,107.7883,345.8141,-11.352,107.788,-14.186,341.6053,143.7585,2.894042,-18.395,143.758,2.894,344.5065,162.6616,28.14392,-15.493,162.662,28.144,-35.16,43.14921,-14.21076,0,0,0,0,0,0,,,,0.4837447
R_1234567890,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.26853,Far,-28.057,44.482,-5.3419,0.819097,0.5020275,0.5262231,-34.61814,44.40099,-15.70827,-34.8372,43.79951,-16.105,-34.89722,43.70434,-16.17047,349.3425,107.5309,345.8478,-10.658,107.531,-14.152,341.6089,143.744,2.9005,-18.391,143.744,2.9,344.5138,162.6587,28.1394,-15.486,162.659,28.139,-35.16,43.14921,-14.21076,0,0,0,0,0,0,,,,0.819097
R_1234567890,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.26822,Far,-28.057,44.482,-5.3419,0.9783006,0.5020275,0.5302125,-34.62099,44.40136,-15.7061,-34.83638,43.79969,-16.1043,-34.897,43.7042,-16.17114,349.6578,107.841,345.9411,-10.342,107.841,-14.059,341.6011,143.7402,2.900882,-18.399,143.74,2.901,344.5251,162.6701,28.13671,-15.475,162.67,28.137,-35.16,43.14921,-14.21076,0,0,0,0,0,0,,,,0.9783006
R_1234567890,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.27667,Far,-28.057,44.482,-5.3419,1.124003,0.5020275,0.5408701,-34.63066,44.403,-15.71,-34.83577,43.80024,-16.1038,-34.89697,43.7043,-16.17073,350.0758,110.6175,344.9899,-9.924001,110.618,-15.01,341.6002,143.7456,2.88407,-18.4,143.746,2.884,344.5192,162.6691,28.14897,-15.481,162.669,28.149,-35.16,43.14921,-14.21076,0,0,0,0,0,0,,,,1.124003
R_1234567890,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.29705,Far,-28.057,44.482,-5.3419,1.291018,0.5020275,0.5681895,-34.65577,44.40958,-15.71824,-34.83562,43.80039,-16.10378,-34.89726,43.70434,-16.17057,350.7541,116.3081,346.6876,-9.246,116.308,-13.312,341.6144,143.7484,2.89081,-18.386,143.748,2.891,344.5284,162.6703,28.14269,-15.472,162.67,28.143,-35.16,43.14921,-14.21076,0,0,0,0,0,0,,,,1.291018
R_1234567890,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.32212,Far,-28.057,44.482,-5.3419,1.42609,0.5020275,0.6009995,-34.68581,44.41705,-15.72888,-34.83567,43.79998,-16.10404,-34.89738,43.70441,-16.17035,350.9272,122.6643,349.8202,-9.073,122.664,-10.18,341.6436,143.7375,2.900737,-18.356,143.738,2.901,344.5474,162.6755,28.14529,-15.453,162.676,28.145,-35.16,43.14921,-14.21076,0,0,0,0,0,0,,,,1.42609
R_1234567890,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.35382,Far,-28.057,44.482,-5.3419,1.590626,0.5020275,0.6425838,-34.72281,44.42975,-15.74291,-34.83504,43.80088,-16.1032,-34.89691,43.70434,-16.17105,351.5464,128.1444,349.5299,-8.454,128.144,-10.47,341.6425,143.7567,2.867158,-18.358,143.757,2.867,344.5679,162.6617,28.17052,-15.432,162.662,28.171,-35.16,43.14921,-14.21076,0,0,0,0,0,0,,,,1.590626
R_1234567890,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.37667,Far,-28.057,44.482,-5.3419,1.757642,0.5020275,0.6704219,-34.74505,44.42587,-15.75577,-34.83518,43.80073,-16.10361,-34.89685,43.70432,-16.17056,353.635,131.5521,350.7761,-6.365,131.552,-9.224,341.6482,143.7582,2.853102,-18.352,143.758,2.853,344.5535,162.6497,28.18448,-15.446,162.65,28.184,-35.16,43.14921,-14.21076,0,0,0,0,0,0,,,,1.757642
R_1234567890,Experiment,Trial1,Walk,Tutorial,Walk,0,Task0,12.398,Far,-28.057,44.482,-5.3419,1.926503,0.5020275,0.7031627,-34.75974,44.40142,-15.77153,-34.8344,43.80103,-16.10282,-34.89666,43.70409,-16.1715,357.9554,134.5113,352.3699,-2.045,134.511,-7.630001,341.6439,143.7603,2.85522,-18.356,143.76,2.855,344.5728,162.6539,28.16694,-15.427,162.654,28.167,-35.16,43.14921,-14.21076,0,0,0,0,0,0,,,,1.926503
